日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-12-20,=1363.9600,=1374.7300,=2731532650089.5000,=1126593759391,=891210735802.3699,=86.5900,=0.3994,=94.7686,=87.8375,=83.1920
2021-12-17,=1399.0600,=1410.1100,=2796405243296.5000,=1156553725219,=914408979102.4200,=86.6813,=0.4064,=94.7786,=87.8377,=83.1455
2021-12-16,=1425.9300,=1437.2000,=2844674002182.9902,=1179146765292,=931859991797.8600,=89.6832,=0.6158,=94.7786,=87.8513,=83.1455
2021-12-15,=1424.9000,=1436.1600,=2843673704063.9800,=1162110230506,=931077403936.0204,=89.0157,=0.5971,=94.7786,=87.8377,=83.1455
2021-12-14,=1439.4700,=1450.8400,=2870169993066.2397,=1172515463143,=940629447037.3898,=89.2620,=0.6106,=94.7786,=87.8375,=83.1455
2021-12-13,=1445.7100,=1457.1300,=2881434285893,=1176600945337,=945395826070.0900,=88.3773,=0.5473,=94.7786,=87.8373,=83.1455
2021-12-10,=1435.7000,=1447.0500,=2689702308005.9702,=1152334127614,=918305736306.8602,=83.7399,=0.2463,=94.7832,=87.8169,=83.1274
2021-12-09,=1434.5200,=1445.8600,=2673188520146.0996,=1143621277257,=911734149922.1896,=84.2449,=0.2798,=94.7832,=87.8373,=83.1274
2021-12-08,=1415.3700,=1426.5600,=2628021713737.1602,=1127435065034,=899080968250.7802,=85.0838,=0.3194,=94.7832,=87.8375,=83.1274
2021-12-07,=1389.4400,=1400.4200,=2583218897444.0698,=1106445453552,=882376854820.7100,=82.6434,=0.1766,=94.7832,=87.8377,=83.1274
2021-12-06,=1405.7700,=1416.8800,=2602198500305.5503,=1113735845369,=889353392223.7198,=85.4486,=0.3333,=94.7832,=87.8513,=83.1455
2021-12-03,=1444.8300,=1456.2500,=2667847557966.2598,=1132860211724,=911984058365.1300,=88.4799,=0.5512,=94.8269,=87.8648,=83.1274
2021-12-02,=1429.5000,=1440.7400,=2637473033875.5400,=1119187460830,=900801701589.0200,=87.3667,=0.4622,=94.8269,=87.8513,=83.1274
2021-12-01,=1456.4800,=1467.9400,=2687388537597.6997,=1143729797454,=918871825982.3101,=89.6974,=0.6061,=94.8269,=87.8648,=83.1274
