日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM中位数,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2023-09-05,=930.6300,=946.8000,=2761807139575.1196,=1584356077982,=1037061912514.1324,=9.5899,=0.2846,=16.8623,=13.0405,=9.2727
2023-09-04,=942.4300,=958.8000,=2800605619599.4702,=1606433350057,=1051945269490.2468,=9.7478,=0.3272,=16.8623,=13.0415,=9.2727
2023-09-01,=934.7900,=951.0300,=2765159795422.1401,=1592517572203,=1042201544546.6884,=9.5554,=0.2748,=16.8701,=13.0612,=9.2534
2023-08-31,=942.6100,=958.9900,=2785613035084.0200,=1607338851762,=1044860065941.5924,=9.5962,=0.2844,=16.8701,=13.0809,=9.2534
2023-08-30,=939.6500,=955.9800,=2775460511156.2900,=1600178004724,=989430406890.5118,=9.9293,=0.3603,=16.8701,=13.1258,=9.2534
2023-08-29,=916.4600,=932.3800,=2705789547533.9800,=1558123687493,=917508659978.5380,=9.6628,=0.3037,=16.8701,=13.1707,=9.2534
2023-08-28,=880.1900,=895.4900,=2600465070276.2212,=1493128465742,=872920482300.9941,=9.3535,=0.2258,=16.8701,=13.1856,=9.2534
2023-08-25,=870.4000,=885.5200,=2569328084268.4204,=1476334605096,=863174182868.4280,=9.2200,=0.1941,=16.8766,=13.2005,=9.2427
2023-08-24,=885.4800,=900.8600,=2609067846758.8901,=1502617264644,=875022933492.2776,=9.3112,=0.2104,=16.8766,=13.2039,=9.2534
2023-08-23,=879.4600,=894.7400,=2593538938513.1509,=1498358137551,=862132739047.5330,=9.1611,=0.1813,=16.8766,=13.2073,=9.2534
2023-08-22,=901.1300,=916.7900,=2654996386174.5000,=1536815039797,=871555961648.0558,=9.3545,=0.2230,=16.8766,=13.2398,=9.2727
2023-08-21,=892.0900,=907.5900,=2639590020988.3599,=1457523199844,=862831567577.8889,=9.7957,=0.3289,=16.8766,=13.2723,=9.2727
2023-08-18,=904.2500,=919.9600,=2674922607341.9902,=1475480187302,=872630183729.3210,=9.8537,=0.3400,=16.8770,=13.2796,=9.2534
2023-08-17,=910.3800,=926.2000,=2692605968077.9102,=1469904959508,=878817897908.8522,=9.9401,=0.3552,=16.8770,=13.2868,=9.2534
