日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB正数等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-07-21,=955.5500,=971.7600,=2826543011092.7505,=1470269242186,=922535420551.4980,=4.4008,=0.0151,=6.9190,=5.6728,=4.8025
2023-07-20,=961.1300,=977.4000,=2852142199216.1797,=1477965197346,=928001241488.2024,=4.4060,=0.0152,=6.9190,=5.6735,=4.8025
2023-07-19,=975.1100,=991.1100,=2890762416040.6899,=1498763590068,=941377267111.8840,=4.4368,=0.0221,=6.9190,=5.6737,=4.8042
2023-07-18,=980.0200,=996.1000,=2908244463925.1792,=1500869885228,=946052337459.7716,=4.4803,=0.0414,=6.9190,=5.6740,=4.8069
2023-07-17,=984.8200,=1000.9500,=2917962962832.5903,=1508741479270,=950865806798.5906,=4.4650,=0.0304,=6.9190,=5.6740,=4.8086
2023-07-14,=991.5600,=1007.8000,=2943296632243.9595,=1513078350099,=957392837142.3770,=4.4987,=0.0512,=6.9239,=5.6740,=4.8086
2023-07-13,=995.9700,=1012.1000,=2954134303016.7300,=1516102909249,=961253379792.8575,=4.5459,=0.0860,=6.9239,=5.6760,=4.8087
2023-07-12,=984.9800,=1000.9300,=2923174031487.6411,=1501025433983,=950372957480.0432,=4.5089,=0.0583,=6.9239,=5.6779,=4.8173
2023-07-11,=1001.4100,=1017.4400,=2977455176936.0293,=1526811362573,=966897661693.2228,=4.5369,=0.0779,=6.9239,=5.6784,=4.8177
2023-07-10,=993.7300,=1009.6300,=2946889162001.1899,=1518525322363,=959605833768.4296,=4.5086,=0.0571,=6.9239,=5.6788,=4.8211
2023-07-07,=991.8500,=1007.5700,=2930071304920.4199,=1521919318458,=957911414912.9460,=4.4804,=0.0404,=6.9459,=5.6821,=4.8211
2023-07-06,=1002.1100,=1018,=2961065563845.5698,=1534272017979,=967827456779.0844,=4.5174,=0.0628,=6.9459,=5.6854,=4.8241
2023-07-05,=1005.7300,=1021.6800,=2975668907860.2402,=1539642209140,=971758818289.4399,=4.5275,=0.0685,=6.9459,=5.6912,=4.8307
2023-07-04,=1015.4000,=1031.4600,=3004853146321.3008,=1553885925613,=980972345672.9476,=4.5636,=0.0882,=6.9459,=5.6970,=4.8336
2023-07-03,=1008.4000,=1024.3500,=2982392393832.9902,=1541552243634,=974276159535.5004,=4.5400,=0.0757,=6.9459,=5.6998,=4.8346
2023-06-30,=1005.1500,=1021.0400,=2967549278957.8691,=1545802053618,=971352402513.0408,=4.4808,=0.0407,=6.9494,=5.7027,=4.8346
2023-06-29,=1001.4600,=1017.2900,=2961729821391.7700,=1540718234638,=967421469456.9594,=4.4527,=0.0253,=6.9494,=5.7049,=4.8406
2023-06-28,=1008.2200,=1024.0900,=2980430113541.6396,=1545955688808,=974083507066.9775,=4.4593,=0.0254,=6.9494,=5.7071,=4.8429
2023-06-27,=1011.3500,=1027.2700,=2994723525288.6396,=1561263788942,=977694447287.2400,=4.4739,=0.0324,=6.9494,=5.7085,=4.8437
2023-06-26,=1010.3100,=1025.7000,=2983788746218.1792,=1554938429120,=976286927653.0876,=4.4521,=0.0240,=6.9494,=5.7100,=4.8451
2023-06-21,=1020.2200,=1035.2000,=3014712541900.0708,=1537013586627,=985548412303.1864,=4.4302,=0.0198,=6.9629,=5.7101,=4.8451
2023-06-20,=1055.4100,=1070.7300,=3118776115766.2510,=1586668610177,=1018982963479.2850,=4.5284,=0.0609,=6.9629,=5.7102,=4.8469
2023-06-19,=1055.4500,=1070.7800,=3123427285755.5098,=1580650576661,=1019573584160.1080,=4.5586,=0.0766,=6.9629,=5.7107,=4.8489
2023-06-16,=1052.8800,=1068.1700,=3112121412047.7500,=1573442964493,=1017168860478.4926,=4.5827,=0.0810,=6.9629,=5.7111,=4.8497
2023-06-15,=1033.8500,=1048.8600,=3057578978888.9497,=1536044252371,=998235846468.6952,=4.5485,=0.0697,=6.9629,=5.7118,=4.8500
2023-06-14,=1035.3100,=1050.0900,=3069351798013.1191,=1541378395729,=1000271437639.3510,=4.4790,=0.0299,=6.9693,=5.7125,=4.8500
2023-06-13,=1039.4600,=1054.3000,=3076726744750.0898,=1548121526445,=1003604130687.3644,=4.5033,=0.0428,=6.9693,=5.7160,=4.8511
2023-06-12,=1026.6400,=1041.1800,=3042967715443.1401,=1530938764906,=990404242484.7970,=4.5055,=0.0429,=6.9693,=5.7195,=4.8523
2023-06-09,=1032.5500,=1047.1700,=3017254236300.5308,=1528729541465,=1000605377405.4600,=4.4944,=0.0386,=6.9693,=5.7211,=4.8533
2023-06-08,=1007.1200,=1021.2000,=2938021804025.7900,=1483394846948,=974866616518.6750,=4.3838,=0.0100,=6.9693,=5.7227,=4.8576
2023-06-07,=1019.0500,=1033.2900,=2970277351319.2012,=1496814650023,=986658991419.4561,=4.3957,=0.0115,=6.9862,=5.7241,=4.8576
2023-06-06,=1022.9800,=1037.2300,=2977333714152.3188,=1501278411788,=990352499122.8954,=4.3990,=0.0115,=6.9862,=5.7254,=4.8583
2023-06-05,=1051.7300,=1066.2500,=3058987174766.2402,=1545867041269,=1017679434830.5192,=4.4799,=0.0259,=6.9862,=5.7258,=4.8630
2023-06-02,=1053.2900,=1067.8200,=3061594656604.8003,=1542647254832,=1018743077559.7904,=4.5377,=0.0548,=6.9862,=5.7261,=4.8638
2023-06-01,=1053.5500,=1068.0800,=3069768320871.4204,=1538868720967,=1018964721337.6678,=4.5065,=0.0361,=6.9862,=5.7268,=4.8657
2023-05-31,=1053.9100,=1068.4500,=3085133140969.0801,=1532154613334,=1018606127330.1500,=4.5148,=0.0405,=6.9962,=5.7275,=4.8657
2023-05-30,=1044.4300,=1058.2000,=3050795779338.5195,=1520294781513,=1009056664226.2336,=4.4864,=0.0289,=6.9962,=5.7277,=4.8667
2023-05-29,=1028.3800,=1041.9200,=3004364415089.9600,=1494182211557,=994426830791.6416,=4.4505,=0.0174,=6.9962,=5.7278,=4.8668
2023-05-26,=1038.6600,=1052.3300,=3024399363379.3701,=1500882725736,=1001455956530.1724,=4.4835,=0.0261,=6.9962,=5.7280,=4.8753
2023-05-25,=1021.7200,=1035.1700,=2979540840173.9800,=1474045043309,=987210164313.0334,=4.4983,=0.0291,=6.9962,=5.7282,=4.8777
2023-05-24,=1011.7700,=1025.0900,=2939391721468.4204,=1464483242060,=977550861728.3026,=4.4680,=0.0204,=7.0046,=5.7284,=4.8777
2023-05-23,=1016.1100,=1029.4800,=2959353843893.2700,=1468464289973,=981263341683.8026,=4.4706,=0.0219,=7.0046,=5.7285,=4.8781
2023-05-22,=1032.1100,=1045.6900,=2998678223426.1812,=1490618260108,=995458674282.2648,=4.5094,=0.0277,=7.0046,=5.7286,=4.8792
2023-05-19,=1040.1600,=1053.8500,=3022573798414.9204,=1505334361135,=1002201719345.0162,=4.5120,=0.0292,=7.0046,=5.7288,=4.8817
2023-05-18,=1034.8200,=1048.3300,=3011496331037.0010,=1495833749360,=996783201478.8380,=4.4800,=0.0220,=7.0046,=5.7338,=4.8850
2023-05-17,=1029.6500,=1043,=2995342902648.7305,=1484052542113,=992085177266.0288,=4.5152,=0.0279,=7.0087,=5.7388,=4.8850
2023-05-16,=1025.8700,=1039.1700,=2978102323184.5098,=1479141903865,=988771460944.9000,=4.4999,=0.0250,=7.0087,=5.7401,=4.8874
2023-05-15,=1025.7900,=1039.0900,=2989097793107.3589,=1480897090204,=988732901877.7008,=4.5107,=0.0250,=7.0087,=5.7415,=4.8878
2023-05-12,=1014.1100,=1027.2600,=2940109641726.9800,=1467499161742,=976824496367.8140,=4.4320,=0.0162,=7.0087,=5.7446,=4.9001
2023-05-11,=1025.9700,=1039.2800,=2973044103858.6304,=1486294938204,=987975236011.5990,=4.4893,=0.0221,=7.0087,=5.7478,=4.9010
2023-05-10,=1025.7100,=1039.0100,=2973017777437.2310,=1488520631527,=987185421429.9174,=4.4872,=0.0207,=7.0089,=5.7489,=4.9010
2023-05-09,=1034.2100,=1047.6300,=3012555173476.4707,=1501807342261,=995035987712.1300,=4.4688,=0.0192,=7.0089,=5.7499,=4.9044
2023-05-08,=1057.2100,=1070.9300,=3088468218819.5801,=1525748857697,=1018431462761.1689,=4.5473,=0.0356,=7.0089,=5.7539,=4.9055
2023-05-05,=1049.0900,=1062.7000,=3076048886919.0400,=1506178464592,=1010656179524.3145,=4.5334,=0.0297,=7.0089,=5.7579,=4.9118
2023-05-04,=1064.2000,=1078.0100,=3115709390694.4600,=1528886225471,=1024893811824.0718,=4.6007,=0.0446,=7.0089,=5.7604,=4.9131
2023-04-28,=1087.8700,=1101.9800,=3181843472017.7397,=1561467304379,=1034922104350.4063,=4.6568,=0.0625,=7.0152,=5.7629,=4.9131
2023-04-27,=1068.0100,=1081.8600,=3115094459173.1411,=1526567115833,=986728861470.0344,=4.6732,=0.0671,=7.0152,=5.7661,=4.9142
2023-04-26,=1069.0100,=1082.8700,=3128753578546.6099,=1528764625404,=981670730081.0028,=4.6844,=0.0731,=7.0152,=5.7692,=4.9143
2023-04-25,=1076.8600,=1089.6500,=3167036555168.9497,=1547818143821,=984920651693.0580,=4.6331,=0.0523,=7.0152,=5.7705,=4.9148
2023-04-24,=1096.3800,=1109.4000,=3200456672592.7705,=1571911621432,=1000534988260.7562,=4.7586,=0.1108,=7.0152,=5.7718,=4.9154
2023-04-21,=1116.8300,=1129.9700,=3255031088294.2388,=1592365614343,=1019837203859.7202,=4.8638,=0.1679,=7.0269,=5.7723,=4.9154
2023-04-20,=1164.9500,=1178.6600,=3390215231921.6396,=1663278406807,=1063857804779.4402,=4.9856,=0.2477,=7.0269,=5.7728,=4.9169
2023-04-19,=1134.4000,=1147.7600,=3305557592967.5400,=1585396608295,=1037062159044.7300,=4.9979,=0.2511,=7.0269,=5.7729,=4.9169
2023-04-18,=1129.8200,=1143.1200,=3282756381023.4199,=1582191718023,=1033833732819.1500,=5.0312,=0.2590,=7.0269,=5.7731,=4.9169
2023-04-17,=1140.1300,=1153.5500,=3306613470312.3496,=1594231762600,=1042602368144.5396,=5.0632,=0.2775,=7.0269,=5.7739,=4.9169
2023-04-14,=1136.2100,=1149.5900,=3283381257703.0010,=1583550441850,=1037376003726.7400,=5.0535,=0.2704,=7.0310,=5.7746,=4.9154
2023-04-13,=1100.1300,=1113.0800,=3190311950929.9902,=1536745243210,=1003358804587.0398,=4.9568,=0.2224,=7.0310,=5.7761,=4.9154
2023-04-12,=1129.4100,=1142.7000,=3269717307534.9292,=1584185724522,=1029493096478.8202,=5.0198,=0.2530,=7.0310,=5.7776,=4.9154
2023-04-11,=1121.7400,=1134.9500,=3235841058900.9604,=1570038948332,=1022525302092.3900,=5.0228,=0.2564,=7.0310,=5.7795,=4.9154
2023-04-10,=1129.1700,=1142.4700,=3257487778476.6196,=1575352376467,=1025015360447.0298,=5.0505,=0.2629,=7.0310,=5.7814,=4.9154
2023-04-07,=1161.0200,=1174.6900,=3339595859263.4004,=1632054849509,=1052632397359.9102,=5.0919,=0.2831,=7.0385,=5.7816,=4.9148
2023-04-06,=1146.9600,=1160.4700,=3302020948980.7104,=1617357987710,=1040153088695.2200,=5.0510,=0.2637,=7.0385,=5.7817,=4.9148
2023-04-04,=1129.0800,=1142.3800,=3255565430256.3989,=1590212113571,=1023672048219.3101,=4.9662,=0.2336,=7.0385,=5.7818,=4.9148
2023-04-03,=1126.4900,=1139.7500,=3245037167459.6802,=1589515998575,=1022534158461,=4.9858,=0.2477,=7.0385,=5.7818,=4.9148
2023-03-31,=1081.5400,=1094.2700,=3116645599112.2397,=1522731941492,=982160440060.9803,=4.9010,=0.1899,=7.0385,=5.7839,=4.9148
2023-03-30,=1065.6900,=1078.2400,=3081296241175.7495,=1490235522635,=948252342295.1198,=4.9001,=0.1887,=7.0574,=5.7859,=4.9148
2023-03-29,=1062.1400,=1074.6400,=3074237049419.0298,=1490053735540,=945296345584.0400,=4.8792,=0.1813,=7.0574,=5.7871,=4.9154
2023-03-28,=1038.6300,=1050.8500,=3008257750887.8501,=1448829794711,=923786178186.4600,=4.8657,=0.1723,=7.0574,=5.7882,=4.9169
2023-03-27,=1057.4900,=1069.9400,=3054857783026.3208,=1474909116181,=939828307464.0898,=4.9671,=0.2296,=7.0574,=5.7882,=4.9185
2023-03-24,=1060.9900,=1073.4800,=3069061680556.8198,=1479380978430,=943409802815.8002,=4.9687,=0.2315,=7.0574,=5.7883,=4.9185
2023-03-23,=1058.9900,=1071.4500,=3073424923255.0503,=1468406565904,=937516850850.1604,=4.9885,=0.2411,=7.0782,=5.7905,=4.9169
2023-03-22,=1034.0500,=1046.2200,=3022957498414.6396,=1422769688301,=915675930895.2400,=4.9509,=0.2152,=7.0782,=5.7928,=4.9169
2023-03-21,=1030.1900,=1042.3100,=3013293320928.0293,=1420330776134,=911769002724.8101,=4.9481,=0.2124,=7.0782,=5.7939,=4.9169
2023-03-20,=1025.3200,=1037.3900,=2986466863718.9795,=1415308821935,=907388052332.8600,=4.9055,=0.1894,=7.0782,=5.7950,=4.9169
2023-03-17,=1015.7600,=1027.7200,=2968981379425.3389,=1405928099110,=899440250139.0701,=4.8777,=0.1788,=7.0782,=5.7954,=4.9185
2023-03-16,=992.4400,=1004.1200,=2903273586058.3398,=1369669421361,=878003364650.3998,=4.8511,=0.1651,=7.0831,=5.7957,=4.9185
2023-03-15,=1007.3000,=1019.1600,=2949944948117.2705,=1387060391349,=889900778418.7301,=4.9524,=0.2106,=7.0831,=5.7958,=4.9211
2023-03-14,=1013.3900,=1025.3200,=2963225480120.9014,=1398242481469,=895805464115.4999,=4.9585,=0.2109,=7.0831,=5.7959,=4.9211
2023-03-13,=998.9100,=1010.6700,=2911978317703.3203,=1381434863953,=882414106842.0201,=4.9168,=0.1925,=7.0831,=5.7975,=4.9211
2023-03-10,=993.5500,=1005.2500,=2796278378483.7788,=1395981055093,=879199904164.9301,=4.8668,=0.1755,=7.0831,=5.7991,=4.9254
2023-03-09,=998.3000,=1010.0600,=2810287614024.8501,=1404398117096,=883426625114.6200,=4.8878,=0.1837,=7.0853,=5.7996,=4.9254
2023-03-08,=994.8900,=1006.6000,=2800033431214.7300,=1399397375591,=880321373265.6000,=4.8630,=0.1730,=7.0853,=5.8001,=4.9267
2023-03-07,=990.5800,=1002.2400,=2786725805228.2192,=1390178906853,=876106223604.7501,=4.8667,=0.1732,=7.0853,=5.8009,=4.9313
2023-03-06,=1007.6300,=1019.5000,=2843030857814.0801,=1416061124040,=891385969584.8300,=4.9570,=0.2066,=7.0853,=5.8017,=4.9365
2023-03-03,=998.9000,=1010.6600,=2811767099767.3696,=1404213506562,=883492731779.2900,=4.9247,=0.1959,=7.0853,=5.8022,=4.9365
2023-03-02,=988.8900,=1000.5400,=2784402163340.2798,=1392022133148,=875023234464.3401,=4.8753,=0.1741,=7.0891,=5.8026,=4.9365
2023-03-01,=994.6300,=1006.3400,=2807874619633.0996,=1396203238047,=879803355124.0199,=4.9179,=0.1918,=7.0891,=5.8028,=4.9398
2023-02-28,=990.4700,=1002.1300,=2798698769926.3501,=1387630569024,=875920101075.5099,=4.8850,=0.1778,=7.0891,=5.8030,=4.9494
2023-02-27,=986.2800,=997.8900,=2786055505347.7500,=1382381771590,=871854920678.5099,=4.8576,=0.1717,=7.0891,=5.8057,=4.9567
2023-02-24,=990.6300,=1002.2900,=2798820113953.0298,=1339758383606,=872346522419.5200,=4.9044,=0.1783,=7.0891,=5.8084,=4.9580
2023-02-23,=992.4600,=1004.1500,=2802783290038.6489,=1342491992823,=873892561242.9900,=4.9211,=0.1882,=7.1212,=5.8096,=4.9580
2023-02-22,=989.6500,=1001.3000,=2795203850321.3599,=1341351521593,=871660240711.2799,=4.9131,=0.1805,=7.1212,=5.8107,=4.9580
2023-02-21,=995.7300,=1007.4500,=2809446984428.3389,=1346110025949,=877055873384.3900,=4.9313,=0.1888,=7.1212,=5.8114,=4.9626
2023-02-20,=998.8300,=1010.5900,=2819286777803.3599,=1350208755561,=879780301828.4601,=4.9365,=0.1891,=7.1212,=5.8122,=4.9631
2023-02-17,=986.3300,=997.9500,=2787241831821.5508,=1334392055618,=868678669320.9198,=4.8874,=0.1782,=7.1212,=5.8129,=4.9640
2023-02-16,=1005.1800,=1017.0100,=2841769807458.7202,=1363108926608,=885640514565.6598,=4.9567,=0.1913,=7.1216,=5.8136,=4.9640
2023-02-15,=1024.2200,=1036.2700,=2898680699608.2202,=1387367953027,=902538815159.5798,=5.0622,=0.2303,=7.1216,=5.8165,=4.9680
2023-02-14,=1022.6700,=1034.7100,=2890179236283.9502,=1381811929961,=901206642674.4600,=5.0465,=0.2210,=7.1216,=5.8194,=4.9680
2023-02-13,=1024.0400,=1036.0900,=2893827654236.6299,=1382106799462,=902402564342.8400,=5.0647,=0.2294,=7.1216,=5.8204,=4.9680
2023-02-10,=1024.5400,=1036.6000,=2890585276370.0195,=1381311001507,=902730521541.4399,=5.0607,=0.2282,=7.1216,=5.8213,=4.9680
2023-02-09,=1036.8600,=1049.0700,=2923623501277.4497,=1402155974575,=914038787201.8400,=5.0876,=0.2366,=7.1238,=5.8226,=4.9640
2023-02-08,=1010.6900,=1022.5900,=2848836842173.3799,=1367676824931,=890867670562.3400,=4.9823,=0.2094,=7.1238,=5.8239,=4.9640
2023-02-07,=1020.1700,=1032.1800,=2874481414458.0098,=1378978782307,=899185071313.6400,=5.0696,=0.2276,=7.1238,=5.8267,=4.9640
2023-02-06,=1024.4300,=1036.4900,=2888847545163.0195,=1386406180851,=903242022016.5104,=5.0584,=0.2248,=7.1238,=5.8295,=4.9640
2023-02-03,=1033.8700,=1046.0400,=2911345421737.6992,=1397934023292,=911782994512.1400,=5.1000,=0.2333,=7.1238,=5.8299,=4.9640
2023-02-02,=1031.6800,=1043.8200,=2904010189659.2705,=1390867123876,=909611916136.8000,=5.1092,=0.2369,=7.1261,=5.8304,=4.9631
2023-02-01,=1026.4000,=1038.4800,=2890051291960.2598,=1379502979642,=904623346600.1398,=5.0801,=0.2308,=7.1261,=5.8340,=4.9631
2023-01-31,=1014.3600,=1026.3000,=2847514903743.6411,=1362277080673,=893313385923.0599,=5.0012,=0.2148,=7.1261,=5.8376,=4.9631
2023-01-30,=1031.6100,=1043.7500,=2891384673133.5205,=1389141840928,=908620255551.4900,=5.0715,=0.2266,=7.1261,=5.8376,=4.9631
2023-01-20,=1029.1400,=1041.2500,=2892057037092.9189,=1330609862699,=906033782201.5900,=5.0534,=0.2237,=7.1261,=5.8376,=4.9631
2023-01-19,=1023.6500,=1035.7000,=2880308988609.6997,=1324464081088,=900957808394.1700,=5.0335,=0.2191,=7.1538,=5.8385,=4.9626
2023-01-18,=1006.7500,=1018.6000,=2832946663958.2603,=1299752919971,=885946579302.1201,=4.9580,=0.1964,=7.1538,=5.8395,=4.9626
2023-01-17,=1003.6800,=1015.4900,=2830687924111.7905,=1295900576552,=882929719207.5101,=4.9580,=0.1967,=7.1538,=5.8403,=4.9631
2023-01-16,=992.6100,=1004.3000,=2807554607072.4995,=1281497189556,=873723977725.1302,=4.9154,=0.1887,=7.1538,=5.8411,=4.9640
2023-01-13,=974.3100,=985.7800,=2752696183980.4702,=1242144393353,=857371199041.3101,=4.8042,=0.1443,=7.1538,=5.8422,=4.9680
2023-01-12,=974.1900,=985.6600,=2746485683984.7900,=1241716340630,=857148566638.0099,=4.7748,=0.1246,=7.1708,=5.8433,=4.9680
2023-01-11,=973.9600,=985.4300,=2751430849216.7100,=1233431890712,=856937676225.6100,=4.7796,=0.1248,=7.1708,=5.8449,=4.9748
2023-01-10,=990.3200,=1001.9700,=2800243586900.9199,=1253343936792,=871405683114.3097,=4.8489,=0.1667,=7.1708,=5.8465,=4.9749
2023-01-09,=988.6700,=1000.3100,=2791710283398.4102,=1251852117994,=869945361160.5999,=4.8406,=0.1586,=7.1708,=5.8480,=4.9752
2023-01-06,=991.1000,=1002.7600,=2795819946188.9897,=1255879454612,=872260809704.5901,=4.8429,=0.1589,=7.1708,=5.8495,=4.9818
2023-01-05,=983.5200,=995.1000,=2771170948080.5498,=1249038308687,=865682958653.3701,=4.8336,=0.1558,=7.1727,=5.8497,=4.9818
2023-01-04,=972.3800,=983.8300,=2746066254542.7197,=1237545128399,=856074882963.2102,=4.7892,=0.1326,=7.1727,=5.8498,=4.9857
2023-01-03,=979.9100,=991.4500,=2765266168388.8296,=1246014770552,=862444575423.5302,=4.8069,=0.1412,=7.1727,=5.8503,=4.9952
2022-12-30,=959.9000,=971.2100,=2710094098338.2700,=1218216970001,=844466551690.5801,=4.7184,=0.1094,=7.1727,=5.8508,=5.0206
2022-12-29,=962.2500,=973.5800,=2714309223444.9199,=1221238063048,=846782055222.9103,=4.7318,=0.1130,=7.1727,=5.8551,=5.0221
2022-12-28,=957.2700,=968.5400,=2702501838081.0811,=1212919849004,=842450401577.9398,=4.7372,=0.1132,=7.1777,=5.8594,=5.0221
2022-12-27,=963.1400,=974.4700,=2721451667616.2505,=1220432981236,=847904779799.5800,=4.7888,=0.1269,=7.1777,=5.8600,=5.0421
2022-12-26,=951.1100,=962.3100,=2694658837492.2305,=1203298047711,=837461249157.2699,=4.7570,=0.1169,=7.1777,=5.8607,=5.0505
2022-12-23,=920.3500,=931.1900,=2609310922413.4297,=1166772301361,=810769597568.5000,=4.6322,=0.0577,=7.1777,=5.8612,=5.0598
2022-12-22,=930.8000,=941.7600,=2629960939693.9492,=1177278899440,=819385415890.2201,=4.6669,=0.0697,=7.1777,=5.8616,=5.0715
2022-12-21,=940.8400,=951.9100,=2661178013818.8096,=1189902563434,=828487954797.1702,=4.7405,=0.1107,=7.1904,=5.8620,=5.0715
2022-12-20,=952.7700,=963.9800,=2696457925863.1294,=1204159635258,=838853732764.7601,=4.8086,=0.1297,=7.1904,=5.8624,=5.0813
2022-12-19,=956.1900,=967.4400,=2701383616776.2905,=1197225005664,=842411035977.7999,=4.8177,=0.1333,=7.1904,=5.8626,=5.1025
2022-12-16,=978.3600,=989.8800,=2765141199794.9297,=1225326616602,=861798386245.1001,=4.9398,=0.1661,=7.1904,=5.8627,=5.1066
2022-12-15,=989.2000,=1000.8400,=2791935233900.1299,=1238141568105,=871774570390.6398,=4.9857,=0.1818,=7.1904,=5.8628,=5.1244
2022-12-14,=984.2200,=995.8100,=2779827603475.4404,=1231822226609,=867270739970.9102,=4.9640,=0.1718,=7.1919,=5.8629,=5.1244
2022-12-13,=989.3100,=1000.9500,=2785257496399.3701,=1239522072779,=871330656088.7798,=4.9749,=0.1756,=7.1919,=5.8637,=5.1278
2022-12-12,=1004.6200,=1016.4500,=2828661689170.1699,=1256140236913,=884928039283.3098,=5.0421,=0.1845,=7.1919,=5.8646,=5.1338
2022-12-09,=1001.6900,=1013.4800,=2547440702385.8506,=1282745656939,=895583070055.0900,=4.7175,=0.1071,=7.1919,=5.8647,=5.1359
2022-12-08,=997.3100,=1009.0600,=2542547388836.1396,=1278004803361,=892906454689.7698,=4.6872,=0.0796,=7.1919,=5.8647,=5.1484
2022-12-07,=1000.4700,=1012.2500,=2544193722569.1802,=1279988304473,=894738332258.8701,=4.7086,=0.0901,=7.1930,=5.8661,=5.1484
2022-12-06,=1003.1400,=1014.9500,=2555734167931.5991,=1284154958137,=896559609064.6700,=4.7245,=0.1042,=7.1930,=5.8675,=5.1498
2022-12-05,=1003.6000,=1015.4100,=2556142096931.4800,=1282295578029,=895308298545.5502,=4.7144,=0.0974,=7.1930,=5.8677,=5.1530
2022-12-02,=1008.1400,=1020.0100,=2557842504736.8003,=1282629935505,=898305796698.9700,=4.6947,=0.0871,=7.1930,=5.8678,=5.1536
2022-12-01,=1009.3300,=1021.2100,=2552879264607.4199,=1288955763026,=899738042218.6600,=4.6924,=0.0820,=7.1930,=5.8688,=5.1572
2022-11-30,=1000.2600,=1012.0400,=2533928262764.1401,=1275633957403,=891911787936.9401,=4.6541,=0.0682,=7.2005,=5.8698,=5.1572
2022-11-29,=1002.4500,=1014.2500,=2547230799083.8188,=1277867570812,=893954638192.8497,=4.6748,=0.0718,=7.2005,=5.8737,=5.1658
2022-11-28,=992.8100,=1004.5000,=2515047171626.0898,=1263243490203,=885431075542.9598,=4.5845,=0.0474,=7.2005,=5.8777,=5.1679
2022-11-25,=999.9900,=1011.7600,=2531179330991.9902,=1271167374128,=890730318441.7500,=4.6268,=0.0527,=7.2005,=5.8787,=5.1704
2022-11-24,=1015.3600,=1027.3100,=2570507495296.1401,=1289792924729,=904485294068.8800,=4.6895,=0.0739,=7.2005,=5.8796,=5.1888
2022-11-23,=1017.0200,=1028.9900,=2574754231785.5298,=1292814811482,=905562004289.8904,=4.6938,=0.0741,=7.2105,=5.8801,=5.1888
2022-11-22,=1017.8200,=1029.8000,=2577551861562.0405,=1295518608806,=906263500812.8500,=4.7087,=0.0777,=7.2105,=5.8805,=5.1942
2022-11-21,=1032.4700,=1044.6300,=2616313404362.1812,=1312886644338,=918783499199.8600,=4.8025,=0.1062,=7.2105,=5.8807,=5.2098
2022-11-18,=1031.9900,=1044.1400,=2616146977153.5000,=1311971391158,=918592986569.6400,=4.8016,=0.1046,=7.2105,=5.8809,=5.2119
2022-11-17,=1041.6700,=1053.9400,=2638721843616.5493,=1255961970027,=928245217905.4301,=4.8583,=0.1297,=7.2105,=5.8821,=5.2131
2022-11-16,=1036.4900,=1048.6900,=2626077489192.8101,=1248244226475,=922281566916.2296,=4.8451,=0.1192,=7.2178,=5.8834,=5.2131
2022-11-15,=1052.0400,=1064.4300,=2665228772855.9990,=1268294598071,=937240720837.3199,=4.9118,=0.1319,=7.2178,=5.8841,=5.2146
2022-11-14,=1022.9100,=1034.9600,=2594329399248.8203,=1220511728532,=910007633386.7900,=4.7538,=0.0911,=7.2178,=5.8849,=5.2169
2022-11-11,=1023.2600,=1035.3100,=2591826873473.4600,=1218709335807,=910082363753.9200,=4.7266,=0.0894,=7.2178,=5.8863,=5.2204
2022-11-10,=1023.0600,=1035.1100,=2590730451906.2402,=1214519560622,=905478730320.2600,=4.7103,=0.0806,=7.2178,=5.8878,=5.2308
2022-11-09,=1037.5300,=1049.7400,=2626773206212.9199,=1231685097422,=918386587885.9800,=4.7862,=0.0952,=7.2189,=5.8891,=5.2308
2022-11-08,=1051.7100,=1064.0900,=2664115966204.5098,=1246724497836,=930389879389.1899,=4.8307,=0.1079,=7.2189,=5.8904,=5.2480
2022-11-07,=1061.3500,=1073.8500,=2686375174224.3789,=1257290392030,=938638167616.4098,=4.8781,=0.1207,=7.2189,=5.8923,=5.2617
2022-11-04,=1072.8700,=1085.5000,=2705929787082.4600,=1256854664212,=948231844794.6000,=4.9148,=0.1245,=7.2189,=5.8943,=5.2633
2022-11-03,=1048.0700,=1060.4100,=2647523678163.5200,=1231757218899,=927642060965.8199,=4.8241,=0.1067,=7.2189,=5.8951,=5.2770
2022-11-02,=1037.1800,=1049.3900,=2622002903609.2603,=1215566541526,=916478079748.8398,=4.7600,=0.0906,=7.2296,=5.8959,=5.2770
2022-11-01,=1024.5200,=1036.5800,=2584432515029.9189,=1200632252066,=904869892034.3000,=4.6978,=0.0780,=7.2296,=5.8960,=5.2791
2022-10-31,=1010.3300,=1022.2200,=2543724107228.9297,=1183977151599,=892559298733.2700,=4.6364,=0.0582,=7.2296,=5.8961,=5.2803
2022-10-28,=993.7200,=1005.4200,=2514453417968.8599,=1161092839090,=851249997269.1910,=4.5569,=0.0401,=7.2296,=5.8982,=5.2805
2022-10-27,=1004.9100,=1016.7400,=2539447962302.1611,=1173342024606,=835211284135.5704,=4.6703,=0.0657,=7.2296,=5.9003,=5.2833
2022-10-26,=1003.2500,=1015.0700,=2528330125328.7100,=1173518288089,=834533941228.6002,=4.6817,=0.0695,=7.2333,=5.9006,=5.2833
