日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-08-26,=1497.3400,=1509.1100,=2645527127716.3403,=1084421618526,=746617930496.3899,=22.2020,=0.7164,=23.0118,=21.0009,=19.8586
2021-08-25,=1542.7800,=1554.9100,=2715647300189.3203,=1115942574571,=765074554404.2501,=23.5642,=0.8277,=23.1359,=20.9910,=19.8417
2021-08-24,=1578.0300,=1590.3900,=2754601739377.0801,=1137683818954,=754798180397.8800,=24.3171,=0.9098,=23.0118,=20.9812,=19.8417
2021-08-23,=1564.1100,=1576.3600,=2735504257518.5298,=1130020543575,=748221595296.1599,=24.2500,=0.9094,=22.9619,=20.9796,=19.8417
2021-08-20,=1529.0900,=1541.0600,=2672885589946.5801,=1100411169812,=730981990544.3602,=23.7465,=0.8561,=22.8756,=20.9779,=19.8417
2021-08-19,=1546.1100,=1558.2200,=2710315661718.0703,=1115729527661,=739581577379.9698,=24.0990,=0.8897,=22.8720,=20.9610,=19.8417
2021-08-18,=1507.9900,=1519.8000,=2653030130031.1699,=1090134779304,=721033054563.0499,=23.7236,=0.8588,=22.8720,=20.9440,=19.8103
2021-08-17,=1509.2500,=1521.0700,=2649298953158.7002,=1077297101771,=713793485540.8101,=23.8497,=0.8621,=22.7823,=20.9416,=19.8103
2021-08-16,=1547.9300,=1560.0600,=2728166464071.6401,=1106439688816,=729788865124.4298,=24.4613,=0.9269,=22.7626,=20.9393,=19.8103
2021-08-13,=1552.7800,=1564.9400,=2730121704931.8101,=1110490365864,=731955692972.0901,=24.4344,=0.9228,=22.7046,=20.9281,=19.8103
2021-08-12,=1586.5000,=1598.9300,=2815617596272.1812,=1114152089393,=747090263231.3600,=25.0962,=0.9612,=22.6702,=20.9170,=19.8103
2021-08-11,=1578.7900,=1591.1600,=2803911548536.8398,=1094119076671,=743245612205.5898,=25.0238,=0.9572,=22.6702,=20.9109,=19.8070
2021-08-10,=1588.1900,=1600.6300,=2834299703391.4600,=1100206379470,=747012318242.2100,=25.2887,=0.9727,=22.6647,=20.9047,=19.8070
2021-08-09,=1574.4400,=1586.7700,=2816546300769.9897,=1087914083838,=740460181183.3000,=24.9143,=0.9529,=22.6500,=20.8966,=19.8070
2021-08-06,=1586.6700,=1599.1000,=2855416785125.7500,=1093402091913,=744204510940.7202,=25.0590,=0.9646,=22.6359,=20.8886,=19.8070
2021-08-05,=1604.8100,=1617.3800,=2890492279231.5303,=1104268033146,=752551297799.6802,=25.4935,=0.9921,=22.5995,=20.8665,=19.8070
2021-08-04,=1605.8900,=1618.4700,=2869022749651.3389,=1098939509263,=752973587115.6998,=25.4152,=0.9841,=22.5995,=20.8444,=19.8046
2021-08-03,=1564.1900,=1576.4400,=2806367122505.7798,=1069040076298,=733238412359.7898,=24.9470,=0.9721,=22.5732,=20.8291,=19.8046
2021-08-02,=1599.4700,=1612,=2870966970983.5596,=1095933827495,=750209795553.8900,=25.4272,=0.9920,=22.4990,=20.8137,=19.8046
2021-07-30,=1591.2200,=1603.6800,=2854061882360.8101,=1087042214675,=744838439580.8800,=25.3518,=0.9880,=22.4744,=20.8058,=19.8046
2021-07-29,=1588.4700,=1600.9100,=2830261966638.8101,=1084054044159,=740599684048.8701,=25.4163,=0.9919,=22.4651,=20.7979,=19.8046
2021-07-28,=1518.7000,=1530.5600,=2705484876793.1401,=1035043826639,=708072457839.9700,=24.4230,=0.9636,=22.4651,=20.7871,=19.7820
2021-07-27,=1545.2900,=1557.3500,=2759330320077.6304,=1059052959862,=720842664677.3099,=24.9296,=0.9837,=22.4171,=20.7762,=19.7820
2021-07-26,=1556.9800,=1569.0600,=2740821525675.7202,=1062949016468,=726639041777.6798,=25.1155,=0.9878,=22.2932,=20.7758,=19.7820
2021-07-23,=1563.4900,=1575.6200,=2742985591204.3799,=1064790478105,=729813572940.4200,=25.2840,=0.9918,=22.2834,=20.7753,=19.7820
2021-07-22,=1582.1300,=1594.4100,=2783036825118.1201,=1076473155359,=738183275565.4600,=25.8783,=1,=22.2620,=20.7740,=19.7820
2021-07-21,=1565.6400,=1577.7900,=2757294844344.5298,=1025569932128,=730331992763.5400,=25.5706,=1,=22.2620,=20.7727,=19.7570
2021-07-20,=1522.6300,=1534.4400,=2690074549104.7798,=998626643322,=710250136628.1299,=24.8822,=1,=22.2561,=20.7716,=19.7570
2021-07-19,=1514.1800,=1525.9300,=2683012541293.2603,=969108002887,=706247498431.0598,=23.4882,=0.9125,=22.2108,=20.7705,=19.7570
2021-07-16,=1525.2300,=1537.0700,=2717225147133.5811,=955275790329,=711422774243.7999,=23.6227,=0.9247,=22.1737,=20.7684,=19.7570
2021-07-15,=1560.7000,=1572.7500,=2775343764969.6602,=931456909772,=727692753119.3898,=24.0924,=0.9622,=22.1712,=20.7663,=19.7570
2021-07-14,=1556.7200,=1567.6700,=2786346529895.8101,=901911449159,=725539137335.4698,=24.0562,=0.9620,=22.1712,=20.7542,=19.6955
2021-07-13,=1590.9800,=1602.1700,=2826974544036.9204,=921872466666,=741890742087.9202,=24.4545,=0.9915,=22.1330,=20.7420,=19.6955
2021-07-12,=1601.6100,=1612.7600,=2857029354824.9302,=926406705806,=746681277056.2599,=24.6178,=0.9957,=22.1021,=20.7356,=19.6955
2021-07-09,=1583.7100,=1594.7400,=2838462281390.3398,=918983535905,=738497382929.9799,=24.2179,=0.9915,=22.0631,=20.7291,=19.6955
2021-07-08,=1610.7700,=1621.9900,=2877428129668.0898,=936918474215,=751580414669.7401,=24.4199,=0.9957,=22.0456,=20.7098,=19.6955
2021-07-07,=1570.0300,=1580.9600,=2827256911407.7012,=913436985091,=732195931661.1201,=23.9286,=0.9655,=22.0456,=20.6904,=19.6752
2021-07-06,=1532.7900,=1543.4700,=2764825943025.5200,=890915308707,=715082215087.0399,=23.3984,=0.9394,=22.0118,=20.6845,=19.6752
2021-07-05,=1575.8900,=1586.8700,=2844596933335.1699,=914130773469,=734699113194.2400,=24.1885,=0.9913,=22.0096,=20.6786,=19.6752
2021-07-02,=1538.1600,=1548.8700,=2777647202407.4302,=895556968996,=717470365652.6000,=23.3973,=0.9432,=22.0037,=20.6536,=19.6752
2021-07-01,=1579.8000,=1590.8100,=2867994890534.5498,=920818010254,=737410846510.6200,=24.0012,=0.9825,=22.0012,=20.6286,=19.6752
