date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-07-01,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-02,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-03,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-06,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-07,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-08,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-09,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-10,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-13,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-14,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-15,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-16,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
