训练设备：cpu

========== 开始 PPO 滚动训练（随机种子42，复现锁定）==========

PPO 第1轮
训练区间: 0 ~ 300
验证区间: 300 ~ 500
预测区间: 500 ~ 600
轮次4 迭代44 | 夏普:1.32 | 累计收益:0.0827 | 年化波动:0.0793 | 最大回撤:-0.0657
轮次4 迭代45 | 夏普:1.28 | 累计收益:0.0800 | 年化波动:0.0789 | 最大回撤:-0.0660
轮次4 迭代46 | 夏普:1.28 | 累计收益:0.0787 | 年化波动:0.0776 | 最大回撤:-0.0654
轮次4 迭代47 | 夏普:1.32 | 累计收益:0.0797 | 年化波动:0.0763 | 最大回撤:-0.0638
轮次4 迭代48 | 夏普:1.33 | 累计收益:0.0809 | 年化波动:0.0769 | 最大回撤:-0.0631
轮次4 迭代49 | 夏普:1.39 | 累计收益:0.0837 | 年化波动:0.0764 | 最大回撤:-0.0611

PPO 第5轮
训练区间: 400 ~ 700
验证区间: 700 ~ 900
预测区间: 900 ~ 1000
  加载上一轮模型：/home/lx/农行杯/fund-platform/models/multi_model/PPO_round4_best.zip
轮次5 迭代0 | 夏普:-1.21 | 累计收益:-0.0802 | 年化波动:0.0825 | 最大回撤:-0.1017
轮次5 迭代1 | 夏普:-1.20 | 累计收益:-0.0823 | 年化波动:0.0851 | 最大回撤:-0.1052
轮次5 迭代2 | 夏普:-1.21 | 累计收益:-0.0842 | 年化波动:0.0865 | 最大回撤:-0.1068
轮次5 迭代3 | 夏普:-1.23 | 累计收益:-0.0866 | 年化波动:0.0871 | 最大回撤:-0.1106
轮次5 迭代4 | 夏普:-1.23 | 累计收益:-0.0866 | 年化波动:0.0875 | 最大回撤:-0.1103
轮次5 迭代5 | 夏普:-1.24 | 累计收益:-0.0921 | 年化波动:0.0918 | 最大回撤:-0.1177
轮次5 迭代6 | 夏普:-1.24 | 累计收益:-0.0900 | 年化波动:0.0898 | 最大回撤:-0.1149
轮次5 迭代7 | 夏普:-1.24 | 累计收益:-0.0913 | 年化波动:0.0912 | 最大回撤:-0.1173
轮次5 迭代8 | 夏普:-1.25 | 累计收益:-0.0900 | 年化波动:0.0891 | 最大回撤:-0.1158
轮次5 迭代9 | 夏普:-1.24 | 累计收益:-0.0838 | 年化波动:0.0839 | 最大回撤:-0.1076
轮次5 迭代10 | 夏普:-1.25 | 累计收益:-0.0894 | 年化波动:0.0888 | 最大回撤:-0.1141
轮次5 迭代11 | 夏普:-1.22 | 累计收益:-0.0916 | 年化波动:0.0928 | 最大回撤:-0.1176
轮次5 迭代12 | 夏普:-1.23 | 累计收益:-0.0911 | 年化波动:0.0915 | 最大回撤:-0.1165
轮次5 迭代13 | 夏普:-1.20 | 累计收益:-0.0869 | 年化波动:0.0895 | 最大回撤:-0.1115
轮次5 迭代14 | 夏普:-1.22 | 累计收益:-0.0865 | 年化波动:0.0880 | 最大回撤:-0.1100
轮次5 迭代15 | 夏普:-1.20 | 累计收益:-0.0873 | 年化波动:0.0899 | 最大回撤:-0.1117
轮次5 迭代16 | 夏普:-1.21 | 累计收益:-0.0911 | 年化波动:0.0937 | 最大回撤:-0.1178
轮次5 迭代17 | 夏普:-1.21 | 累计收益:-0.0920 | 年化波动:0.0942 | 最大回撤:-0.1187
轮次5 迭代18 | 夏普:-1.22 | 累计收益:-0.0938 | 年化波动:0.0949 | 最大回撤:-0.1189
轮次5 迭代19 | 夏普:-1.19 | 累计收益:-0.0899 | 年化波动:0.0939 | 最大回撤:-0.1163
轮次5 迭代20 | 夏普:-1.18 | 累计收益:-0.0916 | 年化波动:0.0966 | 最大回撤:-0.1192
轮次5 迭代21 | 夏普:-1.20 | 累计收益:-0.0967 | 年化波动:0.0994 | 最大回撤:-0.1241
轮次5 迭代22 | 夏普:-1.21 | 累计收益:-0.0966 | 年化波动:0.0986 | 最大回撤:-0.1240
轮次5 迭代23 | 夏普:-1.24 | 累计收益:-0.0962 | 年化波动:0.0960 | 最大回撤:-0.1231
轮次5 迭代24 | 夏普:-1.22 | 累计收益:-0.0994 | 年化波动:0.1004 | 最大回撤:-0.1284
