date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2016-12-19,913488.5334064865,1867184.5327745478,1934295.6269332138,2190138.837362932,1833960.0049591644,1829924.7200302368,1829924.7200302368,1720549.4183872372,1686894.829500297
2016-12-20,906732.8791930157,1853842.334488806,1919113.6337330302,2169713.5779571193,1819084.1417924918,1816706.2670087535,1816706.2670087535,1713695.8678732626,1679456.7705302343
2016-12-21,916708.739937312,1861966.4254505932,1927432.3855650749,2183180.7442676816,1824741.453179929,1819142.7252920447,1819142.7252920447,1718876.5178499434,1684301.585500149
2016-12-22,915080.4956370668,1860302.7475596962,1928112.2898012116,2188017.9459585804,1823582.4516697864,1814246.5922826957,1814246.5922826957,1719033.5247050654,1684685.119302496
2016-12-23,907785.3150151399,1850546.2012618887,1916530.349829135,2170343.365701004,1815151.507738482,1809942.4602049787,1809942.4602049787,1712844.7081075246,1678537.526224128
2016-12-26,911014.5445771059,1854304.304491058,1920107.516771734,2175149.2381878886,1819796.36411619,1815103.1545441563,1815103.1545441563,1714367.949778564,1680268.7920786813
2016-12-27,909656.2553354428,1852739.7740161307,1917209.5947578482,2168538.333513335,1816648.3980072378,1813651.3060281684,1813651.3060281684,1713386.7262607613,1678994.4379309386
2016-12-28,904789.9741906017,1849233.030046083,1913340.8470812368,2161597.1976187974,1814826.92138617,1814225.779816258,1814225.779816258,1710761.3028780404,1676661.4719066964
2016-12-29,905320.6879141959,1849269.331726526,1911817.8304839937,2157409.3932199636,1815249.3479841053,1817440.3339208607,1817440.3339208607,1709897.4154285197,1675974.643998229
2016-12-30,906121.2332537664,1859455.3541128866,1924143.77132077,2172281.135807217,1828771.4824318588,1831079.3671337098,1831079.3671337098,1714523.801237705,1681385.255360238
2017-01-03,916366.1471314111,1866644.7132413338,1931302.7117743937,2175397.2352189966,1832902.756766314,1829745.9260082447,1829745.9260082447,1718736.1397251803,1685621.241945824
2017-01-04,924452.1635042264,1885611.9333592262,1951955.207064048,2193657.665162225,1850254.4081185528,1842789.0849186347,1842789.0849186347,1729488.0878466638,1695958.1835844899
2017-01-05,922554.1525548083,1883728.4662821537,1949997.5548530677,2192295.1538147465,1848072.8558216952,1840962.1855971047,1840962.1855971047,1728461.8329933477,1695016.6985933036
2017-01-06,919576.8529144919,1883274.095406992,1950973.0771344341,2185927.665685836,1850339.9823016396,1841130.082898353,1841130.082898353,1728711.579581177,1695109.2532388032
