date,bond_10y_2y_spread,zz500_std20,hs300_pb,consume_rsi14,hs300_pe,margin_5d_chg,zz500_atr14,zz500_pb,zz500_ma5,zz500_pb_quantile,hs300_atr14,hs300_erp,hs300_ma5,bond10_macd_bar,consume_pe,consume_pe_quantile,margin_total,north_net,m0环比增长,m1环比增长,kc50_pe_p80,chip_ma5,pmi_生产经营活动预期指数,gold_rsi14,社融增量(亿元),kc50_pe_quantile,chip_macd_dif,gold_ma5,chip_std20,north_20d_sum,chip_ma20_vol,gold_std20,chip_obv,chip_macd_bar,社融存量增速(近似),chip_pb,kc50_ma20_vol
2016-02-15,0.3786,0.2642855807911338,1.38,33.094044351873144,10.42,-2.721583666,0.2972988712880757,2.84,5.844599999999195,0.0351851851851851,0.0935269228955958,6.759828982725528,2.9560000000038364,,23.8272,0.4540229885057471,875150000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-16,0.3672,0.2553018913249369,1.42,38.550976889878974,10.73,-2.121934782,0.2934918090532131,2.96,5.911999999999195,0.084870848708487,0.0934892855459104,6.482064492078285,2.9684000000038364,,24.5208,0.4885057471264368,881039000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-17,0.4113,0.2573808038958726,1.43,40.540550740934805,10.82,-1.367774704,0.2827423941208408,2.99,5.985399999999196,0.1084558823529411,0.0898829080069168,6.407044177449167,2.9898000000038367,,24.5921,0.4909688013136289,882538000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-18,0.4209,0.2482599609564147,1.42,41.05438291195731,10.79,-0.617127314,0.2694750802550665,2.98,6.033399999999196,0.1025641025641025,0.0868912717207084,6.432740593141798,3.0026000000038366,,24.4528,0.4835796387520525,884890000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-19,0.4208,0.2511940598702054,1.42,40.864231988660485,10.76,1.3902055499620314,0.2580840030939903,2.99,6.094399999999196,0.1131386861313868,0.0836133237406578,6.468580297397771,3.020800000003837,,24.5585,0.4901477832512315,883864000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-22,0.4137,0.2585263926838023,1.45,43.94010605357679,11.01,1.3952966851866977,0.2505065743015625,3.05,6.180799999999197,0.1618181818181818,0.0829980863306108,6.240052134423251,3.053800000003837,,25.0273,0.5106732348111659,887361000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-23,0.4243,0.2527263652927556,1.44,43.062955520701664,10.9,0.6858390921065993,0.2422561047085938,3.03,6.212599999999196,0.1485507246376811,0.0809267944498529,6.329211926605503,3.0654000000038364,,25.0939,0.5147783251231527,887082000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-24,0.4592,0.2524602854194943,1.44,42.8327510825762,10.97,0.7653330456732776,0.2350235258008371,3.05,6.238399999999197,0.1660649819494584,0.0797177377034348,6.248170282588879,3.075400000003836,,25.2424,0.5221674876847291,889292000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-25,0.4474,0.2537580111327802,1.36,35.14438452566386,10.35,-1.056200568,0.2626647025293487,2.81,6.167399999999196,0.0179856115107913,0.0895950421531895,6.796735748792271,3.046600000003836,,23.6514,0.4490968801313629,875544000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-26,0.4285,0.2498431422193434,1.38,33.935965785615984,10.46,-1.604982522,0.2570457952058237,2.82,6.1019999999991965,0.025089605734767,0.0871953962851046,6.705129445506692,3.0250000000038364,,23.9946,0.4638752052545156,869679000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-02-29,0.4342,0.2600836706022905,1.35,33.935965785615984,10.26,-3.875859691,0.269613952691122,2.66,5.937199999999196,0.0071428571428571,0.0896814394075971,6.896388693957117,2.9770000000038364,,23.3457,0.4400656814449918,852968000000.0,,-0.0428,-0.0489,,,53.3,,8312.0,,,,,,,,,,,,
2016-03-01,0.4651,0.2658318419865168,1.37,37.49667072682711,10.42,-4.125576828,0.2667129560703276,2.73,5.810999999999196,0.0142348754448398,0.0925613365927687,6.744228982725527,2.944600000003837,,23.7829,0.4540229885057471,850484000000.0,,-0.0687,0.0486,,,54.8,,23931.0,,,,,,,,,,,,
2016-03-02,0.4996,0.2620144427583578,1.43,44.858144841765856,10.82,-3.894255941,0.272447744922447,2.86,5.740399999999196,0.0531914893617021,0.0958069554075709,6.366944177449168,2.9338000000038367,,24.5863,0.4958949096880131,854661000000.0,,-0.0687,0.0486,,,54.8,,23931.0,,,,,,,,,,,,
