date,year,month,volatility_20d
2022-04-07,2022,4,31.9851845931476
2022-04-08,2022,4,31.901339182210982
2022-04-11,2022,4,33.31432889163175
2022-04-12,2022,4,33.87611126587293
2022-04-13,2022,4,31.95316427557412
2022-04-14,2022,4,26.73623064028329
2022-04-15,2022,4,21.95904136706704
2022-04-18,2022,4,20.73712069597374
2022-04-19,2022,4,20.641839043440253
2022-04-20,2022,4,21.36591099231643
2022-04-21,2022,4,21.9718781390076
2022-04-22,2022,4,21.823535215043417
2022-04-25,2022,4,27.063519957228294
2022-04-26,2022,4,26.65623103197351
2022-04-27,2022,4,29.06460791981261
2022-04-28,2022,4,29.26049474642611
2022-04-29,2022,4,28.66944043926424
2022-05-05,2022,5,28.62109721267125
2022-05-06,2022,5,29.06842960133552
2022-05-09,2022,5,29.094457098922437
2022-05-10,2022,5,29.49267287730336
2022-05-11,2022,5,29.939555522395388
2022-05-12,2022,5,28.056629507562132
2022-05-13,2022,5,27.421621890592046
2022-05-16,2022,5,27.42465696067498
2022-05-17,2022,5,27.541346385058525
2022-05-18,2022,5,27.5387789546911
2022-05-19,2022,5,27.565969379522304
2022-05-20,2022,5,28.66533819487178
2022-05-23,2022,5,28.15183829873899
2022-05-24,2022,5,28.45534818752979
2022-05-25,2022,5,28.485165502565277
2022-05-26,2022,5,22.12047547756813
2022-05-27,2022,5,21.78651347089042
2022-05-30,2022,5,19.71765898112209
2022-05-31,2022,5,20.284086905061045
2022-06-01,2022,6,18.344179607862436
2022-06-02,2022,6,18.27032719043117
2022-06-06,2022,6,16.781685302230386
2022-06-07,2022,6,16.235060319929513
2022-06-08,2022,6,16.144961973249984
2022-06-09,2022,6,16.19780214897668
2022-06-10,2022,6,16.381324621984618
2022-06-13,2022,6,17.233542547913398
2022-06-14,2022,6,16.932943761867257
2022-06-15,2022,6,16.87754147363053
2022-06-16,2022,6,17.059945369403682
2022-06-17,2022,6,17.52656128498963
2022-06-20,2022,6,16.341462367265926
2022-06-21,2022,6,15.884560544109924
2022-06-22,2022,6,14.37834821823063
2022-06-23,2022,6,15.156880807195636
2022-06-24,2022,6,15.297041288843536
2022-06-27,2022,6,15.399195065513604
2022-06-28,2022,6,15.554455904065073
2022-06-29,2022,6,16.308510144665604
2022-06-30,2022,6,16.326836941718938
2022-07-01,2022,7,16.578268352196655
2022-07-04,2022,7,15.58096768502996
2022-07-05,2022,7,15.714536828278378
2022-07-06,2022,7,16.621235538364683
2022-07-07,2022,7,16.13061332532991
2022-07-08,2022,7,15.69131207551176
2022-07-11,2022,7,16.365971969783313
2022-07-12,2022,7,16.535050250977378
2022-07-13,2022,7,16.095131392992485
2022-07-14,2022,7,15.872721264591384
2022-07-15,2022,7,16.00754656221406
2022-07-18,2022,7,16.385629316139934
2022-07-19,2022,7,16.485578292832827
2022-07-20,2022,7,15.955054204311326
2022-07-21,2022,7,15.06867833102643
2022-07-22,2022,7,14.4226404934947
2022-07-25,2022,7,13.697206681038953
2022-07-26,2022,7,13.144931983024572
2022-07-27,2022,7,12.69275837420385
2022-07-28,2022,7,11.748718546138068
2022-07-29,2022,7,12.405735546150188
2022-08-01,2022,8,12.227897680274078
2022-08-02,2022,8,13.128527677393476
2022-08-03,2022,8,12.941297638784544
2022-08-04,2022,8,13.309159101104449
2022-08-05,2022,8,14.952257020215558
2022-08-08,2022,8,13.98133625806331
2022-08-09,2022,8,13.848355446155391
2022-08-10,2022,8,14.153775358326822
2022-08-11,2022,8,16.39917907725078
2022-08-12,2022,8,15.578139044699364
2022-08-15,2022,8,15.020114946212445
2022-08-16,2022,8,14.955200996080675
2022-08-17,2022,8,15.377563673034595
2022-08-18,2022,8,15.2425551966511
2022-08-19,2022,8,15.409915277714918
2022-08-22,2022,8,15.568028549142014
2022-08-23,2022,8,15.363665658266362
2022-08-24,2022,8,16.493674560977972
2022-08-25,2022,8,16.874289428114945
2022-08-26,2022,8,16.198933462311075
2022-08-29,2022,8,16.208878826319946
2022-08-30,2022,8,15.118887892864286
2022-08-31,2022,8,14.598387876456542
2022-09-01,2022,9,14.63004483322824
2022-09-02,2022,9,13.408991539367252
2022-09-05,2022,9,13.397903062294567
2022-09-06,2022,9,13.700668901434709
2022-09-07,2022,9,13.26319126441256
2022-09-08,2022,9,10.551958025531858
2022-09-09,2022,9,11.968947180578136
2022-09-13,2022,9,12.062234402823082
2022-09-14,2022,9,12.588764768697487
2022-09-15,2022,9,12.172268462694342
2022-09-16,2022,9,13.910630201370504
2022-09-19,2022,9,13.82118816187077
2022-09-20,2022,9,13.46182577905595
2022-09-21,2022,9,13.559634187920995
2022-09-22,2022,9,12.4575623485394
2022-09-23,2022,9,11.728852691587146
2022-09-26,2022,9,11.764452663276591
2022-09-27,2022,9,13.039015856462203
2022-09-28,2022,9,13.686105225951442
2022-09-29,2022,9,13.693993429973888
2022-09-30,2022,9,13.627774600929246
2022-10-10,2022,10,14.959714577953084
2022-10-11,2022,10,14.951501258416052
2022-10-12,2022,10,16.155107579221085
2022-10-13,2022,10,16.137909215251618
2022-10-14,2022,10,18.734097762662028
2022-10-17,2022,10,17.716785259635802
2022-10-18,2022,10,17.560018439981455
2022-10-19,2022,10,17.856546310154794
2022-10-20,2022,10,17.74331447965214
2022-10-21,2022,10,16.35410360246531
2022-10-24,2022,10,18.3270378084644
2022-10-25,2022,10,18.262463667613197
2022-10-26,2022,10,18.64655501696629
2022-10-27,2022,10,18.637212002712797
2022-10-28,2022,10,19.957845628458248
2022-10-31,2022,10,20.08507821429332
2022-11-01,2022,11,24.61810771803531
