日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2014-03-05,=5301.0010,=5758.4100,=1116097272578.8000,=932647607417,=466527078825.3298,=3.1703,=0.0159,=6.5181,=5.4615,=3.6995
2014-03-04,=5268.2720,=5722.8600,=1107720137864.7000,=923585413014,=463505448608.0802,=3.1467,=0.0115,=6.5181,=5.4628,=3.7281
2014-03-03,=5312.8510,=5771.2900,=1117960149488.3999,=930878010461,=467478031164.8900,=3.1758,=0.0160,=6.5181,=5.4642,=3.7365
2014-02-28,=5217.1650,=5667.3400,=1097653763857.1000,=908760077558,=458925994502.6401,=3.1181,=0.0062,=6.5206,=5.4666,=3.7365
2014-02-27,=5117.5470,=5559.1300,=1074622424005.7998,=889891420054,=449537185741.9799,=3.0542,=0,=6.5206,=5.4691,=3.7430
2014-02-26,=5173.8990,=5620.3400,=1084393759984,=896859038318,=454446782409.5599,=3.0819,=0.0018,=6.5206,=5.4696,=3.7584
2014-02-25,=5179.8330,=5626.7900,=1083997746269.5000,=896904594130,=455163876552.9601,=3.0808,=0.0009,=6.5206,=5.4700,=3.7718
2014-02-24,=5371.3290,=5834.8100,=1124533228062.8000,=931123231237,=471964283470.1301,=3.2059,=0.0223,=6.5206,=5.4701,=3.7746
2014-02-21,=5437.1690,=5906.3300,=1138460833171.8000,=941840594585,=477837274321.3901,=3.2456,=0.0357,=6.5255,=5.4701,=3.7746
2014-02-20,=5484.0950,=5957.3100,=1148877363082.1001,=949973439336,=481782138760.4800,=3.2753,=0.0419,=6.5255,=5.4730,=3.7810
2014-02-19,=5504.5500,=5979.5300,=1153300763063,=954638846648,=483494372457.6301,=3.2879,=0.0455,=6.5255,=5.4759,=3.7832
2014-02-18,=5473.7710,=5946.0900,=1145113116383.6001,=947171294344,=480880713390.9500,=3.2646,=0.0384,=6.5255,=5.4766,=3.7954
2014-02-17,=5536.2580,=6013.9700,=1159631468048.5002,=958626887940,=486438513079.9002,=3.3060,=0.0546,=6.5255,=5.4774,=3.7961
2014-02-14,=5460.8900,=5932.1000,=1142393711342.3000,=942124389304,=479811123073.9701,=3.2568,=0.0376,=6.5267,=5.4840,=3.7961
2014-02-13,=5352.6550,=5814.5200,=1117286243686,=919820041324,=470342309619.6600,=3.1853,=0.0152,=6.5267,=5.4906,=3.7963
2014-02-12,=5395.5830,=5861.1600,=1123554140529.2002,=924640863861,=474262603992.8900,=3.2031,=0.0206,=6.5267,=5.4916,=3.8162
2014-02-11,=5362.8610,=5825.6100,=1119246634581.1001,=919937442692,=471439759950.7100,=3.1908,=0.0171,=6.5267,=5.4926,=3.8232
2014-02-10,=5331.3950,=5791.4300,=1111439938513.9998,=913678618301,=468744310456.1901,=3.1686,=0.0108,=6.5267,=5.4936,=3.8273
2014-02-07,=5205.2850,=5654.4400,=1086476030971,=895020853963,=457797000786.0101,=3.0974,=0.0009,=6.5269,=5.4945,=3.8273
2014-01-30,=5135.0660,=5578.1600,=1074359631973.2000,=883832596693,=451516333495.8500,=3.0629,=0,=6.5269,=5.4956,=3.8277
2014-01-29,=5229.5650,=5680.8100,=1093634453857.5000,=900846866542,=460085223566.1000,=3.1178,=0.0009,=6.5269,=5.4967,=3.8328
2014-01-28,=5282.9930,=5738.8500,=1104155101785.3999,=910891865782,=464930329173.0799,=3.1478,=0.0054,=6.5269,=5.4970,=3.8329
2014-01-27,=5349.6210,=5811.2300,=1117531798018.3999,=922612853816,=470729077829.0399,=3.1933,=0.0126,=6.5269,=5.4973,=3.8376
