日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2012-02-20,=5783.3110,,=1173996311351.5002,=926760164716,=467280092108.0698,=31.7455,=0.0423,=57.6146,=51.1172,=42.2957
2012-02-17,=5794.2280,,=1177307796984.6003,=929715997076,=468268391027.5601,=31.8081,=0.0440,=57.6391,=51.2157,=42.2957
2012-02-16,=5802.4520,,=1178379174842.2000,=930627828378,=468899191432.3199,=31.9379,=0.0456,=57.6391,=51.3142,=42.4131
2012-02-15,=5852.4490,,=1189213205024.3999,=939610265626,=473296266107.7702,=32.1018,=0.0457,=57.6391,=51.3158,=42.5538
2012-02-14,=5801.4800,,=1179410696847.2002,=931448859457,=469183973621.3402,=31.7549,=0.0426,=57.6391,=51.3174,=42.5902
2012-02-13,=5805.1870,,=1179793627981.3997,=931557271542,=469320576851.0200,=31.7269,=0.0411,=57.6391,=51.3601,=42.6169
2012-02-10,=5731.3350,,=1163945154811.4998,=919630793069,=463308259871.7900,=31.4075,=0.0380,=57.6469,=51.4028,=42.6169
2012-02-09,=5702.2320,,=1159960578885.7998,=916377996817,=461239188495.6001,=31.2981,=0.0365,=57.6469,=51.4133,=42.7038
2012-02-08,=5677.7990,,=1153574760591,=910976034401,=459082598619.2101,=31.0735,=0.0317,=57.6469,=51.4238,=42.7350
2012-02-07,=5562.1310,,=1131126520407.8999,=893503168551,=449992279127.6000,=30.3667,=0.0223,=57.6469,=51.4260,=42.7976
2012-02-06,=5638.5750,,=1146587663083.7998,=905874659854,=456350483321.1100,=30.8894,=0.0271,=57.6469,=51.4283,=42.8409
2012-02-03,=5560.6270,,=1130852680587.3999,=893699308322,=450120543934.2201,=30.5408,=0.0223,=57.8564,=51.4462,=42.8409
2012-02-02,=5521.8240,,=1123476337797,=888148532232,=447324700553.3599,=30.1591,=0.0208,=57.8564,=51.4640,=42.9132
2012-02-01,=5460.4670,,=1112593619487,=879589237527,=442738309764.5800,=29.7781,=0.0128,=57.8564,=51.4701,=42.9168
2012-01-31,=5451.0330,,=1111594474378.6997,=879469191183,=442048279055.7701,=29.8015,=0.0128,=57.8564,=51.4762,=42.9614
2012-01-30,=5410.4610,,=1103059870954.8003,=872314288792,=438224209372.6599,=29.7434,=0.0112,=57.8564,=51.4900,=42.9890
2012-01-20,=5473.0490,,=1118578959958.6001,=883951107086,=443285508966.4101,=29.9914,=0.0145,=57.9947,=51.5038,=42.9890
2012-01-19,=5323.3230,,=1087020346003.9998,=859121403183,=430775276478.3300,=29.2799,=0.0064,=57.9947,=51.5098,=42.9943
2012-01-18,=5232.5080,,=1069695817511.9000,=845290843818,=423547518043.7600,=28.9452,=0.0048,=57.9947,=51.5157,=42.9955
2012-01-17,=5425.2740,,=1110117571229.9004,=875156227852,=438469341844.0399,=29.9229,=0.0097,=57.9947,=51.5167,=43.0577
2012-01-16,=5216.8690,,=1071792786372.5000,=845744310839,=422544704036.9900,=28.5900,=0,=57.9947,=51.5176,=43.0662
