date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2018-06-11,1021030.4891312585,2129053.4180336613,2133873.0893567423,4384790.063514993,2210872.797708718,3052249.1600781796,1976199.0741896783,2709807.4842076288,2724976.712476341
2018-06-12,1031238.7318876564,2150617.024197375,2141615.9649794353,4450601.843336907,2248902.2991960756,3062172.0978905098,1987605.9438536346,2739608.047101395,2755774.7153317216
2018-06-13,1020741.327800061,2133899.9248312796,2132363.484945479,4413845.05876969,2222153.1140728877,3047546.18156886,1976919.4972029545,2717339.018006125,2733252.113323741
2018-06-14,1018042.2094912553,2131082.0611047447,2133181.84037473,4401723.754581032,2214071.959849309,3047941.9496708913,1976489.5934120615,2712662.0607463727,2728330.7026839913
2018-06-15,1016418.7307702955,2121388.5461228997,2130839.030415127,4377563.5849804655,2195205.300913895,3048746.0559080453,1972219.4460011886,2700112.2215342135,2716917.556897027
2018-06-19,981452.4475156545,2054492.623980631,2099186.068967328,4233940.400949477,2087275.5422218808,3004310.790826798,1933282.766904024,2613106.0949600223,2634051.806630438
2018-06-20,981442.7108842308,2068571.3146159982,2105014.2469167383,4289891.447160835,2111876.89358332,3004869.4732156363,1941624.2121802946,2632836.7038195455,2653567.9525734186
2018-06-21,973366.321931174,2055556.5808776205,2100751.693363054,4272453.771592211,2090327.3779690012,2997613.397175846,1935593.575382361,2616843.5766073475,2638983.289193684
2018-06-22,977658.8371078962,2066535.2078724734,2108635.317420865,4291288.316173941,2104504.216680281,3007554.1767127467,1943619.4796383963,2630302.5044319076,2651566.6322754035
2018-06-25,963936.1016174086,2058734.9997190163,2107491.421882045,4288115.325963353,2088506.9144071168,2996692.5927614337,1940977.6505403542,2619594.924747014,2641810.7150025605
2018-06-26,954515.7260516956,2052800.5099545696,2104084.1183604337,4272747.448135702,2079442.3607705594,2984893.0081108687,1937025.5851851308,2610575.0040605026,2631421.3360860636
2018-06-27,931920.5324275832,2022197.7341469196,2089791.234845269,4193324.035432244,2028269.1481806773,2957777.0310635036,1918793.469507381,2568006.8470162447,2589806.358429635
2018-06-28,926533.7884396729,2009217.7578666375,2086177.836107797,4160489.7345539574,2006636.4569532936,2953634.896019799,1912825.4701776123,2551126.4645793363,2572858.1964648585
2018-06-29,950991.9717807345,2047910.7080400265,2105935.535187779,4243017.467035339,2067584.934022681,2986111.901677529,1936519.9960164588,2602356.855562473,2620966.5393797318
2018-07-02,925708.789712202,2022353.1683095612,2099010.228269798,4194858.263094992,2032956.304139887,2966606.988019411,1923973.8319647666,2569922.5574739357,2588557.593308032
2018-07-03,922204.3361930943,2018050.829067637,2101032.8303528433,4160167.3400765406,2016043.1920489161,2974249.9299088633,1923602.6907847142,2562335.93188488,2581325.4339836217
2018-07-04,912516.0747740945,2004596.2513339268,2094694.8237081852,4134879.0391608523,2004755.095553759,2960232.4383034958,1915167.2927955536,2546450.9728315845,2565597.599175579
2018-07-05,904978.8988491422,1987920.28050732,2088655.8868392352,4119376.548903956,1994714.0630008348,2942690.5752324187,1906034.9623433577,2528860.079543443,2548154.199402009
2018-07-06,912766.8276178703,1998372.6396209935,2093201.9565190522,4151243.6432404495,2011955.5317052037,2948587.632298752,1912299.443047988,2542999.9548907583,2561625.974679544
2018-07-09,939374.5370259183,2030710.1262658485,2103139.318951628,4207630.475557417,2050271.7420614683,2973722.608475352,1928976.1784540776,2582449.8956146995,2600411.3457882563
2018-07-10,941784.9003850939,2032746.0870645214,2103338.1243997673,4208665.894593943,2049385.1524307628,2976634.442635599,1929868.1175927052,2584335.318469198,2602070.2317786906
2018-07-11,926182.2018078044,2011781.6456979609,2094723.423129738,4168572.1742584896,2028710.6692057257,2957322.2986622886,1917588.9605873711,2559216.156342554,2577571.322483899
2018-07-12,948487.4177738916,2044538.3085082893,2107647.612258447,4233524.238548891,2062428.9264345989,2985662.6266390835,1936449.0141187666,2598441.087284025,2615996.5663753324
2018-07-13,950091.0820162444,2053963.319615217,2110075.923853381,4275802.70631678,2076538.4340400551,2987043.498333747,1941381.786261266,2610429.7777341045,2627466.4778764118
2018-07-16,946049.0118489681,2055151.0517815377,2114003.682307122,4285620.7138152765,2075502.0387943818,2990509.44756124,1944284.4776956933,2611675.849194476,2628851.9213831034
2018-07-17,940125.1398661801,2044302.3948246196,2110643.690260114,4253947.795003144,2058694.2000672806,2985747.2370965737,1938630.3353081436,2597770.548456245,2615494.663286685
2018-07-18,935814.4113869215,2034035.0073296686,2101243.715134557,4240376.807402862,2045732.3187769223,2972375.434149896,1929895.564071576,2584827.698750985,2602236.5182969393
2018-07-19,936342.7973853163,2032682.1468506462,2105012.217571774,4241180.591646076,2047408.5064904038,2974439.6154694255,1931612.823735341,2584720.0680266614,2602075.92796446
2018-07-20,954345.2703790243,2047376.8077493699,2112706.9129296117,4246964.308604897,2062998.912320269,2993371.42272937,1940747.2768092635,2602920.9715631236,2619515.3563404437
2018-07-23,960518.8847014504,2051132.320276871,2114079.8738765325,4226540.426921874,2066190.5018016747,3000516.7289046356,1942287.4967667619,2606762.1966808178,2623788.6773903086
