date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2017-09-01,1047701.5381687282,2100581.4407500145,2104232.9285530685,4782443.858121929,2112491.85505632,2735639.6318976306,1849816.6593374498
2017-09-04,1051462.7620811618,2107244.11742953,2108851.505629266,4797227.9184113145,2118235.7450370104,2742361.01287488,1854285.7771825795
2017-09-05,1055223.9113972366,2113340.110638496,2111286.1411755886,4794193.288756784,2129540.6284902566,2747926.204250677,1858268.2286430125
2017-09-06,1051980.691581884,2112115.404501033,2110839.0003555757,4796189.9347378425,2126739.3187818746,2746987.7111199107,1857459.8211312855
2017-09-07,1047390.5697963848,2103332.7856254713,2105696.216068767,4788560.932918257,2114656.131813453,2738062.500211379,1851436.6519297163
2017-09-08,1046302.6167023173,2104428.1951403017,2107978.938741365,4797963.4633297315,2113511.200999236,2740240.3174330387,1852798.6590529394
2017-09-11,1047908.5641362809,2109571.0765822893,2108575.0715899277,4786098.377720854,2126134.5872942144,2744654.8495480246,1855724.7306071343
2017-09-12,1050592.0205679503,2107367.92642452,2108002.113137856,4780767.803177073,2124793.3382702786,2743282.8506630696,1854744.4637635425
2017-09-13,1051389.7457361931,2114394.384558743,2111633.5220995024,4784384.069890151,2135369.2809690596,2750234.9777067252,1859530.2330207054
2017-09-14,1047877.3765955688,2111122.5771076265,2109792.166823017,4781284.84632332,2131071.368979049,2747060.550652986,1857434.0995039556
2017-09-15,1049483.244292477,2114472.609669331,2113732.0551582086,4794799.354301927,2132332.157761389,2751223.3517785673,1860501.8848623126
2017-09-18,1053513.4509927006,2125978.502683274,2118224.068419202,4781991.785931844,2156746.2499226234,2762520.6020973776,1868472.7620681697
2017-09-19,1046768.7022893882,2116903.0152460323,2112430.1466968656,4778146.0597875165,2142277.7945015496,2752521.5253951396,1861762.4902071059
2017-09-20,1051606.9632379722,2126097.0836610836,2117965.2792543694,4783267.899188378,2156256.5342525085,2762325.9744096734,1868329.0651941816
2017-09-21,1051865.8971669248,2116971.6652543256,2112579.07864218,4764686.757075501,2148045.513953876,2753590.0036759423,1862551.4241186236
2017-09-22,1048892.459462143,2124366.6196553567,2117275.5222959123,4773055.368327795,2158024.5893132794,2760991.264761481,1868234.3583309688
2017-09-25,1044572.2748021407,2122332.4106678367,2116528.374158329,4772844.696290162,2154998.3133413233,2758946.602778087,1867317.5644288296
2017-09-26,1045100.628988041,2127931.5254683467,2119498.631307872,4793212.733787962,2155987.0449496876,2763171.0342674027,1870039.2739496327
2017-09-27,1045898.3284228855,2128281.606807415,2118000.008510704,4775936.389496554,2163005.114681039,2763510.4741935045,1870155.2314656957
2017-09-28,1047504.0714199875,2126122.7736028945,2117115.6753743757,4767687.690311591,2162853.340524575,2762197.698812833,1869199.05422567
2017-09-29,1050995.235937366,2134827.8033076976,2117783.8329724,4762946.013713395,2177906.9875926524,2767647.058512668,1873043.7298055314
2017-10-09,1062028.0704617635,2144169.728327268,2123648.9516490786,4775901.71075114,2196344.214865512,2772972.4052180327,1877409.83120504
2017-10-10,1063364.260401618,2152217.5878991783,2128245.3236676217,4799590.254014028,2209373.6553522497,2780983.2566421023,1881954.7105440993
2017-10-11,1067393.8489204864,2166568.0258568362,2133399.8941635326,4865083.813357082,2237085.1880010692,2798156.0148215108,1887623.0012819304
2017-10-12,1071962.0372460466,2170784.9926232,2136543.0000763917,4883964.894377259,2241661.1827106792,2804291.7443475313,1890471.6866183442
2017-10-13,1074106.10026433,2173889.1099021393,2137818.1903089485,4884101.222849851,2247598.2581040557,2803408.2685947237,1891592.2976420585
2017-10-16,1070324.7610487149,2163752.5998069034,2133153.531860748,4869893.519849956,2226419.0603166106,2799651.3069033665,1887394.1261305164
2017-10-17,1069775.479052975,2153546.704026382,2124997.7688786294,4839081.389850834,2214682.5769798323,2786108.567653168,1879480.307925062
2017-10-18,1076228.7663765468,2155891.786646461,2126716.817687863,4855223.112920163,2219984.700114133,2791261.0417367173,1880509.5172032232
2017-10-19,1073255.4978046298,2160982.642595287,2129657.077052836,4887720.978221686,2228722.707289016,2803028.9426724943,1883808.7458278036
2017-10-20,1072706.202750966,2160906.0741963377,2128943.340082893,4872596.470793533,2229597.273659223,2797272.319742046,1883129.4888912907
2017-10-23,1075927.414812052,2165367.594694759,2130544.33111657,4879025.59147322,2240330.89860795,2798206.5788988466,1884408.2232943098
2017-10-24,1082919.0219765562,2170383.0463537523,2134142.9282982424,4900049.606871481,2246493.140499941,2804638.021030192,1887497.5140394783
2017-10-25,1086409.3847471364,2171388.4017961556,2134299.0771806925,4894838.42962226,2251339.3663135944,2802411.8728007814,1887135.4466970838
2017-10-26,1094208.6892157865,2187470.331784545,2143170.2936448352,4953344.066088968,2276504.0017623263,2819908.7306788494,1895789.648080313
2017-10-27,1099584.044599531,2200594.3040427584,2148655.463376345,5006574.237386432,2304093.106331048,2834853.2661081324,1901102.5112825856
2017-10-30,1094725.594317449,2179486.5350345913,2136561.8116350896,4964052.68780295,2267409.4510475076,2820022.957780254,1889646.358730968
2017-10-31,1093906.8183767276,2179650.083114574,2137059.66905634,4952859.657698516,2265874.932549917,2816852.51414844,1890156.5558052564
2017-11-01,1090125.7309081124,2174987.718638764,2133589.7445676746,4942704.651426342,2259662.7035370665,2811478.1190992645,1886664.050925487
2017-11-02,1092000.0150116917,2168359.814329061,2129892.733042379,4924900.470564283,2248692.971534802,2807770.6042090287,1882038.2386349463
2017-11-03,1089026.9128335414,2168808.4667131025,2128023.3014958,4908861.982652321,2249973.6586066973,2813667.55415776,1882016.848407862
2017-11-06,1098710.7105930455,2187961.154866963,2138173.216732515,4928961.105603113,2284669.019047819,2832923.2307561217,1894256.1509471587
2017-11-07,1109471.484318467,2207723.3371994607,2149601.4445293564,4942512.193373372,2315705.3835614864,2857861.2503571208,1907626.5845208804
2017-11-08,1107036.87489991,2219246.4468019535,2153651.1537190154,4945450.188183137,2335710.289206484,2873373.909321542,1915079.2165386623
2017-11-09,1115373.7744447205,2209734.816526486,2152527.708221909,4959328.019036027,2317277.8381664897,2853756.92719469,1908959.8504338274
2017-11-10,1125326.2122838597,2215291.7010123725,2154366.5359212086,4956327.959351543,2328608.6804233105,2858395.24750464,1911316.13722742
2017-11-13,1127738.579300212,2217082.294449415,2155083.3609732334,4959975.288806004,2334706.4304591613,2858339.827162608,1912058.6310927644
2017-11-14,1119110.4777265526,2204318.9035609774,2149430.607311912,4953254.6592825595,2311554.052963105,2845461.5374277025,1904576.3210438592
2017-11-15,1111021.0996143224,2196559.324283361,2139031.4245240367,4918903.855380187,2301989.81295527,2839762.33659909,1897296.972141738
2017-11-16,1121511.7312114406,2211095.8176121707,2144343.301911472,4914273.915753533,2331064.4424501825,2858370.9268650087,1905451.4197515557
2017-11-17,1122846.9577214972,2196281.467924661,2138802.859652271,4879861.747782449,2301039.0188433602,2854394.707519673,1896936.651835017
2017-11-20,1131721.6576005253,2205068.463638755,2146120.442972476,4897408.375090446,2312239.291319097,2862307.211826792,1903357.3284760448
2017-11-21,1154059.44223759,2215560.6165802474,2153631.611819638,4898639.72559061,2334959.8072643843,2875199.524747686,1909491.5765063658
2017-11-22,1153778.7306495039,2208500.9554983857,2149108.207123236,4887461.388442265,2324037.3889635433,2867068.2857361003,1904261.6567535272
2017-11-23,1117147.9361546142,2176200.6451463494,2133750.5764558935,4868941.847760302,2260272.9079062394,2838597.0413759723,1886454.7647976866
2017-11-24,1118213.8819578444,2167895.760534339,2126260.8504622686,4857304.386755909,2250000.1978693837,2822953.552604213,1878820.4643448992
2017-11-27,1100162.7379783483,2151217.5246060165,2118612.533987844,4847871.1258200435,2217655.8682326963,2808577.2695859745,1869692.8401333992
2017-11-28,1105267.607322248,2161337.708484058,2121002.371182769,4860137.659030995,2238188.175707072,2811526.4041983257,1874405.813995699
2017-11-29,1104179.6459153292,2151806.293494965,2112739.687886202,4850299.767693615,2226154.6416071476,2793497.897566362,1865987.6000047026
2017-11-30,1091514.1091240307,2138524.616432408,2105572.651812852,4842211.483671818,2205333.507378838,2779731.5221553463,1857869.7284301012
2017-12-01,1092311.0118215447,2140458.977864292,2105204.181418685,4842490.2329320805,2201614.901844264,2776277.9518087865,1856757.9484631168
2017-12-04,1096877.273554358,2147277.442016811,2107803.8331564185,4833152.967937095,2217532.471183988,2786469.5837218957,1859900.1732955223
2017-12-05,1103597.3520314612,2137861.697161531,2103240.3639433817,4804118.7029734505,2217460.967305201,2786712.255518986,1855415.92044787
2017-12-06,1095240.0952983683,2133948.035076363,2097443.696716762,4797570.4147618925,2208477.4738545176,2776959.2870325884,1850563.8018999426
2017-12-07,1082844.5089796088,2115227.2228210308,2085258.001900383,4780416.496710335,2179482.5762884673,2756409.433428313,1839095.041013878
2017-12-08,1093333.750524834,2131210.036664773,2090900.3015527,4781099.494629832,2200428.5140117733,2765834.700620854,1843964.315137464
2017-12-11,1111361.160863361,2162725.948769851,2108415.8615094884,4802557.217136004,2243853.421227686,2794811.7550286776,1860158.638969482
2017-12-12,1093850.5047728198,2150388.0792523497,2099520.3322608303,4789694.720672076,2228251.2448049434,2784839.7173814615,1853746.7121153774
2017-12-13,1101647.1019216713,2169203.011795335,2109652.4918341376,4803059.803077319,2253933.1342171594,2802281.524183985,1863533.3528760036
2017-12-14,1098136.3164985576,2173437.4804285034,2114434.159628595,4820815.079384367,2259930.600405235,2809555.5006539747,1868975.2954998945
2017-12-15,1083587.7019922014,2165435.399151803,2107171.7341283066,4807253.15015043,2252883.8626300027,2803827.3700984158,1864396.123308755
2017-12-18,1083846.166450104,2157786.852343995,2104088.1338442955,4799072.795106731,2244584.3492677985,2799464.428683344,1861079.3473443608
2017-12-19,1098103.6322945773,2169835.348403138,2113731.0973833245,4816558.468554149,2260024.6274804845,2810974.4099089243,1868669.3172124077
2017-12-20,1095669.8571417094,2174399.933794865,2115085.108454548,4807499.724421254,2271340.601360022,2820249.3556274427,1871292.3571100573
2017-12-21,1109119.3050563666,2182601.7814454874,2120585.850727041,4812559.238803105,2281398.217563838,2826088.8970005536,1874786.234173239
2017-12-22,1103993.431307087,2181651.6941022407,2119659.4016470294,4813889.171638506,2279703.9133010446,2825349.300789767,1874615.9995685893
2017-12-25,1098867.6593875852,2182326.063749694,2120429.7985710152,4810897.398289779,2287798.711306292,2833016.7825165717,1877147.4839699029
2017-12-26,1102087.1381070933,2187012.738887312,2121542.6430374053,4811324.423949947,2290263.040204017,2832918.193702687,1877520.1733960218
2017-12-27,1083770.8980612056,2164066.8513105074,2109746.3028996466,4805184.636099547,2258288.3107860554,2813072.403848313,1867515.4702270203
2017-12-28,1093720.286263519,2171333.328698061,2109169.607930714,4794405.160351071,2275152.8994282656,2814332.8894014307,1867088.7642533362
2017-12-29,1097208.9100753786,2180200.1940245023,2122747.6041422365,4837219.616227804,2274633.5429328755,2826550.191926615,1878114.9152672545
2018-01-02,1113349.2847828672,2198365.320781337,2136347.344584125,4868734.748848809,2295475.1224545664,2845170.1654093214,1891151.4575013688
2018-01-03,1119260.3103148125,2209427.5036564562,2143647.7756770006,4884411.216545772,2310125.743586412,2857619.7798695094,1899052.0730244396
2018-01-04,1122748.5774014627,2218603.322632303,2145146.447555431,4882312.587299042,2323143.884929646,2867754.18604704,1903745.12396939
2018-01-05,1127044.314409538,2222702.7153420895,2148706.6569420076,4889144.061923728,2329590.793402843,2872922.270617958,1906961.308865835
2018-01-08,1131609.143288958,2231946.251146172,2153095.5210427116,4896277.997523041,2342887.6239014743,2883375.8561754082,1912861.5258089588
2018-01-09,1140749.846330283,2246916.142212006,2161502.4815340047,4900579.983521003,2368715.341511808,2906220.9919959605,1923327.7921510637
2018-01-10,1145583.6207393822,2248963.751096661,2160201.201454828,4886156.928129428,2377243.9886733354,2911931.4664216787,1923727.0844954252
2018-01-11,1143957.2413195875,2246309.695265982,2158836.894932014,4888557.208859976,2372831.8530146633,2906389.5556936217,1921811.095321735
2018-01-12,1150136.7199610432,2258795.4870379115,2171499.469013438,4904350.63439288,2398699.273709263,2929996.9890630725,1933360.7020290487
2018-01-15,1147971.999844185,2247793.436040082,2166662.785088085,4875358.663326892,2395980.154856224,2928589.5001940825,1927184.6952986638
2018-01-16,1159534.5376089956,2262074.513251739,2173872.2363998652,4883732.066485085,2416641.453466956,2946004.9114206913,1936331.3946705284
2018-01-17,1156023.9746362898,2253439.533003206,2166971.4927488337,4866475.5796909,2407757.1517752283,2936449.0660720733,1929613.3598634454
2018-01-18,1163548.867329534,2253994.8806496053,2166002.9238251965,4864919.237980783,2405155.5709354547,2934064.1079671993,1928825.1313894466
2018-01-19,1166767.1614305042,2240895.8129606694,2161365.746918522,4860377.481783934,2381759.721291962,2916798.182599754,1920438.3905860148
2018-01-22,1181558.8606105947,2268591.890883628,2177901.680861747,4890309.760414415,2416998.9103713073,2949832.3253260236,1939617.5403635185
2018-01-23,1181008.8431880227,2271638.2476502857,2179519.6413477617,4893758.149576415,2423023.547365777,2953514.7591932556,1941759.3359680872
