date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,SASF硬切换,PPO原生日频
2024-12-03,1068228.308495661,2553110.891469598,3007942.2617485267,3241605.5661944947,2433525.825108288,3292507.3089975105,2884646.5178537266,2790288.309636953,4122622.4294278966,2869571.9337594844
2024-12-04,1062658.1584576787,2544250.025827933,3008959.8190461053,3239923.521176991,2429181.20536058,3295541.7926165066,2886360.787673923,2781716.437904483,4126421.9745937395,2860738.5853296993
2024-12-05,1060794.450516683,2542910.102041175,3010197.3809155063,3242265.0608287235,2428479.406105869,3297222.831840337,2887910.7061007023,2780415.132005179,4128526.841601922,2859388.133029717
2024-12-06,1074020.6930526642,2563117.0094008776,3013238.5489668446,3248149.0211388683,2446041.3580393656,3298766.348292501,2889204.0068725455,2799946.009440394,4130459.513255678,2879451.262661403
2024-12-09,1073215.8398899673,2550325.865006558,3013729.6354343095,3247841.3329728837,2426511.3398735165,3300376.9315162683,2892879.810029624,2788016.778286291,4132476.160722068,2867246.3556790682
2024-12-10,1081411.82611823,2570677.3530209023,3032484.8653677623,3269815.28518444,2442198.546037116,3319596.4996613194,2909952.182721806,2809402.770779095,4156541.41412399,2889244.727924782
2024-12-11,1078753.8228541666,2578048.7773440513,3040814.969630871,3283772.292553554,2440490.8758448237,3327111.303633636,2917213.5678652986,2817927.0227415385,4165950.8691385216,2898028.10239197
2024-12-12,1089861.5652404926,2600554.071692346,3054198.4196955543,3300246.9952881257,2456563.071346297,3339874.630778138,2928735.5137097905,2841524.0704470007,4181932.118023303,2922360.324136385
2024-12-13,1064172.6934112413,2560611.560353841,3045657.2938157683,3289612.911532482,2420513.324069695,3334991.5261074705,2923150.975587885,2800869.096668843,4175817.8728747726,2880384.9949920103
2024-12-16,1057808.866331047,2534147.058495338,3042184.8938898277,3283067.180189321,2387784.223358404,3333686.7367652776,2923333.3563549453,2773460.259813007,4174184.1168028866,2852206.6505357395
2024-12-17,1060710.2584641473,2526624.2138803974,3035422.9604544733,3272603.203956936,2377365.113573595,3325746.137410653,2917847.8184115724,2765447.3378331447,4164241.5138167017,2843996.1820244105
2024-12-18,1065199.8788925307,2543656.221610208,3035759.9249857212,3270982.97973511,2408997.428298021,3326437.1722163274,2915103.797420456,2782411.052806428,4165106.7740339236,2861223.324462407
