日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-06-29,=8524.0106,=9153.3603,=1287163002115,=975211903542,=589496693199.8065,=99.3487,=0.5362,=117.9109,=99.0308,=91.5946
2020-06-24,=8695.4642,=9337.4728,=1315165433826.3999,=994145390694,=601598547469.2839,=101.5101,=0.5777,=117.9109,=99.0286,=91.5946
2020-06-23,=8557.3634,=9188.6788,=1291571481922.2998,=975458134101,=591992009963.8413,=99.6890,=0.5561,=117.9109,=99.0053,=91.5946
2020-06-22,=8537.8648,=9164.4938,=1276098973268,=973724341698,=590525169843.9447,=98.4947,=0.4755,=117.9109,=98.9820,=91.5946
2020-06-19,=8181.4222,=8781.8904,=1224503822349.3000,=932628247041,=565845925383.1860,=94.5124,=0.3645,=117.9109,=99.0053,=91.5946
2020-06-18,=8036.5276,=8626.3614,=1193301630857.1001,=911320739852,=555464341300.4740,=92.1041,=0.2228,=118.5779,=99.0286,=91.5901
2020-06-17,=7862.9524,=8440.0468,=1166942924635.8999,=872301112570,=543480553871.3758,=90.0696,=0.1294,=118.5779,=99.0308,=91.5901
2020-06-16,=7946.3011,=8529.5128,=1178606744402.7000,=881584619567,=549321308070.0845,=90.9699,=0.1450,=118.5779,=99.0331,=91.5946
2020-06-15,=7837.4936,=8412.7194,=1165384768285.5000,=868881209357,=541709848435.0138,=89.9493,=0.1206,=118.5779,=99.0546,=91.8410
2020-06-12,=8003.5495,=8590.9628,=1095605886444.8000,=829946731927,=505356231044.6328,=91.5901,=0.1869,=118.5779,=99.0762,=92.0350
2020-06-11,=8121.1347,=8717.1781,=1112392086141.2998,=843343803201,=512553641149.7192,=92.9934,=0.2538,=119.1773,=99.0836,=92.0350
2020-06-10,=8199.2060,=8800.9794,=1124668809805.2998,=852664461488,=517627742514.5088,=94.0197,=0.3112,=119.1773,=99.0911,=92.0350
2020-06-09,=8265.2575,=8870.8215,=1130485388391.2000,=860919129796,=521425326545.7191,=94.5059,=0.3385,=119.1773,=99.0994,=92.0350
