日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2023-03-14,=7859.1821,=8491.7394,=2032745788748.9600,=1561932812058,=998894131590.7396,=5.6418,=0.4647,=6.5980,=5.6864,=4.5487
2023-03-13,=7623.1836,=8236.7462,=1957454456016.0903,=1518299550165,=968841609901.2400,=5.5183,=0.4097,=6.5980,=5.6877,=4.5487
2023-03-10,=7617.4588,=8230.5606,=1953840873729.6101,=1518001546850,=968029204648,=5.4938,=0.4032,=6.5980,=5.6909,=4.5487
2023-03-09,=7672.9969,=8290.5688,=1967333147337.5400,=1529421804393,=975344918994.8600,=5.5577,=0.4269,=6.5981,=5.6942,=4.5486
2023-03-08,=7601.9181,=8213.7692,=1948208232721.8201,=1514054801761,=966379309702.6804,=5.5187,=0.4100,=6.5981,=5.6944,=4.5486
2023-03-07,=7550.6879,=8158.4157,=1936388069983.6497,=1502754021445,=959836119361.1600,=5.4710,=0.4000,=6.5981,=5.6945,=4.5486
2023-03-06,=7774.5546,=8400.3006,=1989820539918.2097,=1546936900003,=988287436603.5699,=5.6545,=0.4726,=6.5981,=5.6949,=4.5486
2023-03-03,=7748.7617,=8372.4317,=1980513492168.2991,=1540234486884,=985062883800.5500,=5.6991,=0.5023,=6.5981,=5.6952,=4.5486
2023-03-02,=7563.6772,=8172.4504,=1933817652178.6799,=1502348415001,=961432999371.6400,=5.5462,=0.4224,=6.5999,=5.6949,=4.5430
2023-03-01,=7634.6915,=8249.1804,=1950750851361.5500,=1517493751292,=970227660088.2900,=5.6226,=0.4521,=6.5999,=5.6952,=4.5430
2023-02-28,=7586.5882,=8197.2055,=1938925387742.5300,=1509060350264,=964153114371.9000,=5.5502,=0.4257,=6.5999,=5.6953,=4.5430
2023-02-27,=7540.5461,=8147.4577,=1926526574545.8601,=1499590974595,=958421014201.6600,=5.5224,=0.4122,=6.5999,=5.6954,=4.5430
2023-02-24,=7673.4180,=8291.0240,=1956444677979.5200,=1477948418455,=975236763780.6801,=5.6431,=0.4631,=6.5999,=5.6983,=4.5430
2023-02-23,=7704.4885,=8324.5952,=1964121460012,=1484497004651,=979203181664.3800,=5.6376,=0.4589,=6.6022,=5.7013,=4.5376
2023-02-22,=7718.1934,=8339.4032,=1967106463410.6196,=1486193382000,=980875141289.8900,=5.6635,=0.4736,=6.6022,=5.7022,=4.5376
2023-02-21,=7751.3438,=8375.2218,=1972993584575.4199,=1492544711605,=984971330471.6902,=5.6751,=0.4824,=6.6022,=5.7030,=4.5376
2023-02-20,=7786.1488,=8412.8282,=1980352491659.9104,=1499842702647,=989608112921.6300,=5.6954,=0.4971,=6.6022,=5.7041,=4.5376
2023-02-17,=7682.5167,=8300.8551,=1956690544345.4600,=1480673974452,=976539244829.5100,=5.5483,=0.4269,=6.6022,=5.7052,=4.5376
2023-02-16,=7935.4178,=8574.1114,=2014629987101.2200,=1530684761253,=1008601836586.7798,=5.7313,=0.5112,=6.6200,=5.7058,=4.5217
2023-02-15,=8156.8651,=8813.3823,=2069057243457.6299,=1572281848345,=1036952729612.8700,=5.9210,=0.5697,=6.6200,=5.7052,=4.5217
2023-02-14,=8079.1795,=8729.4441,=2052949129547.1499,=1556491445369,=1026987810192.4398,=5.8514,=0.5550,=6.6200,=5.7041,=4.5217
2023-02-13,=8096.0013,=8747.6199,=2058466190954.0105,=1560644741111,=1029212042745.5896,=5.8222,=0.5462,=6.6200,=5.7030,=4.5217
2023-02-10,=8089.2728,=8740.3499,=2056130709781.9795,=1557398991791,=1028059237721.2700,=5.7703,=0.5302,=6.6200,=5.7022,=4.5217
2023-02-09,=8140.2138,=8795.3909,=2069665045244.8210,=1567150304975,=1034585551592.2400,=5.7737,=0.5321,=6.6202,=5.7013,=4.5191
2023-02-08,=7820.8794,=8450.3544,=1991853941549.3303,=1505921912548,=993572507187.4700,=5.5282,=0.4209,=6.6202,=5.6982,=4.5191
2023-02-07,=7900.5786,=8536.4683,=2012475354098.5901,=1501663088666,=1003650618639.3000,=5.5966,=0.4464,=6.6202,=5.7013,=4.5191
2023-02-06,=7947.4157,=8587.0752,=2021062526298.4399,=1511289696664,=1009356022736.1702,=5.6196,=0.4529,=6.6202,=5.7022,=4.5191
2023-02-03,=8056.8652,=8705.3339,=2046827050891.1899,=1503733728907,=1023104707562.2000,=5.7030,=0.5000,=6.6202,=5.7030,=4.5191
2023-02-02,=8061.8600,=8710.7307,=2049262411412.3501,=1505181250472,=1023720896502.2804,=5.6851,=0.4934,=6.6204,=5.7032,=4.5107
2023-02-01,=7945.4948,=8584.9997,=2020713317080.0100,=1481455703867,=1008913210442.3000,=5.6409,=0.4629,=6.6204,=5.7052,=4.5107
2023-01-31,=7809.1836,=8437.7172,=1981243180456.3799,=1456744029357,=991587027241.0500,=5.5009,=0.4180,=6.6204,=5.7058,=4.5107
