日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2019-12-09,=5843.8098,=6264.3138,=771722640397.5999,=548630086381,=325823837907.2794,=6.3925,=0.8800,=6.2774,=5.6372,=5.3212
2019-12-06,=5795.1285,=6212.1296,=764242483120.3000,=540805756381,=322704644966.6376,=6.3409,=0.8649,=6.2613,=5.6293,=5.3212
2019-12-05,=5664.1572,=6071.7339,=744144980788.2999,=529983750571,=315662183465.0430,=6.2774,=0.8219,=6.2586,=5.6237,=5.3212
2019-12-04,=5616.6540,=6020.8125,=741915953043.7000,=526016295397,=313095734404.3816,=6.2586,=0.8056,=6.2586,=5.6181,=5.3120
2019-12-03,=5593.4756,=5995.9663,=742238794949.2001,=523605159112,=311823147889.8501,=6.2613,=0.8169,=6.2445,=5.6165,=5.3120
2019-12-02,=5438.1296,=5829.4420,=716190819294.3000,=510091247289,=303005272877.9887,=6.5955,=1,=6.2097,=5.6150,=5.3120
2019-11-29,=5295.4605,=5676.5068,=693792270398.3999,=498663702895,=295297037302.5601,=6.3892,=0.8841,=6.2014,=5.5936,=5.3120
2019-11-28,=5295.8010,=5676.8718,=695729068818.7999,=498998706644,=295403445044.2304,=6.4070,=0.9118,=6.1713,=5.5723,=5.3120
2019-11-27,=5293.9532,=5674.8910,=695845923607.1000,=497670124065,=295242763474.3582,=6.4081,=0.9254,=6.1713,=5.5687,=5.3068
2019-11-26,=5081.4492,=5447.0958,=664896038246.7000,=478731255793,=283577078321.5882,=6.1231,=0.7576,=6.1599,=5.5652,=5.3068
2019-11-25,=4998.6891,=5358.3805,=650680778249.8000,=470570731447,=278795798405.6522,=5.9922,=0.7385,=6.1599,=5.5533,=5.3068
2019-11-22,=5228.3639,=5604.5821,=684165086904.7001,=494795650157,=291954579512.5183,=6.3005,=0.8906,=6.1599,=5.5415,=5.3068
2019-11-21,=5340.4478,=5724.7313,=698044166384.1000,=504812094876,=298391193911.5952,=6.4284,=0.9524,=6.1401,=5.5387,=5.3068
2019-11-20,=5331.7812,=5715.4411,=694806512565.2001,=503712076349,=297851583096.2465,=6.3985,=0.9355,=6.1401,=5.5359,=5.3005
2019-11-19,=5432.0431,=5822.9175,=708816943987.2000,=512890724003,=303441189692.5770,=6.5276,=1,=6.1385,=5.5064,=5.3005
2019-11-18,=5346.8196,=5731.5616,=697984683164,=505791893145,=298686941205.1298,=6.4278,=0.9667,=6.0630,=5.4769,=5.3005
2019-11-15,=5374.2343,=5760.9490,=704940714916.1001,=505150270370,=300125562896.0475,=6.4919,=1,=5.9797,=5.4667,=5.3005
2019-11-14,=5407.4740,=5796.5805,=703555546886.9000,=505650161959,=301496652584.4121,=6.4791,=1,=5.9726,=5.4566,=5.3005
2019-11-13,=5278.0130,=5657.8038,=688036121762.3999,=494662139685,=294405561604.0979,=6.3362,=1,=5.9726,=5.4531,=5.2934
2019-11-12,=5086.2913,=5452.2863,=658372728657.2000,=476859799069,=283544459396.8060,=6.0630,=0.8571,=5.9473,=5.4496,=5.2934
2019-11-11,=5145.0805,=5515.3058,=666745864336.7001,=484029119852,=286990314252.3001,=6.1401,=0.8909,=5.8725,=5.4463,=5.2934
2019-11-08,=5255.6574,=5633.8395,=678083752659.8999,=492315833074,=293020211287.7366,=6.2445,=0.9815,=5.7878,=5.4431,=5.2934
2019-11-07,=5240.3021,=5617.3793,=674301728413.9999,=489518845190,=291963767142.7916,=6.2097,=0.9811,=5.7611,=5.4369,=5.2934
2019-11-06,=5211.8142,=5586.8415,=673401354561.4000,=486103086048,=290368350049.8584,=6.2014,=0.9808,=5.7611,=5.4308,=5.2846
2019-11-05,=5318.9520,=5701.6886,=682677296589.1001,=494845462795,=296069218474.7943,=6.2868,=1,=5.6949,=5.4299,=5.2846
2019-11-04,=5214.7931,=5590.0347,=666571852173,=485019776206,=290261795382.5798,=6.1385,=0.9600,=5.6708,=5.4291,=5.2846
2019-11-01,=5099.2638,=5466.1922,=648558015233.5999,=473043739399,=283588280209.5761,=5.9726,=0.9388,=5.6619,=5.4262,=5.2846
2019-10-31,=5083.7332,=5449.4417,=649382534427,=471153541890,=282760369726.1700,=5.9797,=0.9583,=5.6452,=5.4233,=5.2846
2019-10-30,=5111.8471,=5479.5780,=651742876331,=474855900066,=279883890912.9200,=5.6181,=0.7660,=5.6452,=5.4135,=5.2696
2019-10-29,=4989.0748,=5347.9738,=605144464450.5000,=464582959899,=266440390528.0300,=5.2696,=0.1957,=5.6452,=5.4036,=5.2696
