date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2021-03-03,16.12,1.81,23.77,2.12,,3.2553,2.9481739454094287,0.9763313609467456,0.9699915469146239,0.4809805579036348,0.43956043956043955
2021-03-04,15.69,1.77,23.33,2.08,,3.2655,3.107986297004462,0.9678782755705833,0.9573119188503804,0.4340659340659341,0.41927303465765003
2021-03-05,15.69,1.76,23.29,2.08,,3.2457,3.127786297004462,0.9674556213017751,0.9543533389687235,0.43068469991546915,0.41969568892645814
2021-03-08,15.22,1.71,22.75,2.04,,3.2404,3.32990223390276,0.9556213017751479,0.9408284023668639,0.3905325443786982,0.3951817413355875
2021-03-09,14.93,1.68,22.24,1.99,,3.2478,3.450123643670463,0.9382924767540152,0.9023668639053254,0.38377007607776836,0.36306001690617073
2021-03-10,14.97,1.68,22.05,1.98,,3.2353,3.4447267201068796,0.9399830938292477,0.9019442096365173,0.3803888419273035,0.3558748943364328
2021-03-11,15.31,1.72,22.57,2.03,,3.2506,3.281078641410843,0.9598478444632291,0.9459002535925612,0.3892645815722739,0.3926458157227388
2021-03-12,15.35,1.73,22.66,2.03,,3.2613,3.2533579804560264,0.9602704987320372,0.9497041420118343,0.39222316145393066,0.39306846999154693
2021-03-15,15.11,1.7,22.45,2.02,,3.274,3.344133686300463,0.9459002535925612,0.9311073541842773,0.38546069315300086,0.3875739644970414
2021-03-16,15.23,1.71,22.54,2.03,,3.2614,3.3045881812212734,0.9547759932375317,0.9387151310228233,0.3879966187658495,0.39433643279797126
2021-03-17,15.25,1.72,22.6,2.04,,3.2564,3.300977049180328,0.9551986475063398,0.944632290786137,0.39349112426035504,0.400676246830093
2021-03-18,15.34,1.73,22.78,2.05,,3.2592,3.25970482398957,0.959425190194421,0.9492814877430262,0.39983093829247673,0.4074387151310228
2021-03-19,14.95,1.68,22.56,2.03,,3.2364,3.452563210702341,0.9332206255283179,0.8964497041420119,0.389687235841082,0.39475908706677937
2021-03-22,15.09,1.7,22.93,2.07,,3.2309,3.396005235255136,0.9416737109044802,0.9281487743026204,0.4061707523245985,0.42265426880811496
2021-03-23,14.96,1.69,22.66,2.04,,3.2105,3.4739919786096247,0.9332206255283179,0.9133558748943365,0.3960270498732037,0.40194420963651734
2021-03-24,14.76,1.67,22.38,2.01,,3.193,3.5820677506775076,0.9256128486897718,0.8727810650887574,0.38546069315300086,0.3799661876584953
2021-03-25,14.71,1.66,22.42,2.02,,3.1882,3.609896532970768,0.9218089602704987,0.849112426035503,0.3863060016906171,0.3888419273034658
2021-03-26,14.98,1.69,22.76,2.05,,3.1985,3.4770674232309737,0.9344885883347421,0.9129332206255283,0.4015215553677092,0.41124260355029585
2021-03-29,14.78,1.68,22.92,2.06,,3.1962,3.5696998646820024,0.9251901944209636,0.893491124260355,0.4091293322062553,0.41969568892645814
2021-03-30,14.87,1.69,22.74,2.07,,3.206,3.518949562878278,0.9281487743026204,0.9125105663567202,0.3994082840236686,0.4273034657650042
2021-03-31,14.61,1.68,22.77,2.05,,3.1887,3.6559269678302533,0.9137785291631445,0.8922231614539307,0.40448013524936605,0.41166525781910396
2021-04-01,14.74,1.69,22.97,2.06,,3.196,3.5882605156037983,0.9209636517328825,0.9120879120879121,0.4158918005071851,0.4209636517328825
2021-04-02,14.85,1.7,23.0,2.07,,3.2013,3.5327067340067337,0.9273034657650042,0.9277261200338124,0.4234995773457312,0.4294167371090448
2021-04-06,14.81,1.7,23.06,2.07,,3.2087,3.5434944632005396,0.9256128486897718,0.9273034657650042,0.43068469991546915,0.42983939137785293
2021-04-07,14.73,1.69,23.08,2.07,,3.2215,3.5673662593346913,0.9180050718512257,0.9099746407438715,0.4327979712595097,0.43026204564666104
2021-04-08,14.75,1.69,23.08,2.08,,3.2221,3.557561016949152,0.9201183431952663,0.9095519864750634,0.43322062552831786,0.43871513102282333
2021-04-09,14.56,1.67,23.0,2.07,,3.2121,3.6560318681318678,0.9057480980557904,0.8647506339814032,0.4239222316145393,0.43068469991546915
2021-04-12,14.35,1.65,22.68,2.04,,3.1948,3.773841114982578,0.8765849535080305,0.8047337278106509,0.3989856297548605,0.4040574809805579
2021-04-13,14.32,1.65,22.57,2.03,,3.1626,3.820640223463687,0.8727810650887574,0.8043110735418427,0.39391377852916315,0.39687235841081997
2021-04-14,14.42,1.66,22.79,2.05,,3.1651,3.7697127600554783,0.8846153846153846,0.8402366863905325,0.40828402366863903,0.41377852916314456
2021-04-15,14.29,1.64,22.66,2.04,,3.1728,3.825100629811057,0.8668639053254438,0.7654268808114962,0.3989856297548605,0.40532544378698226
2021-04-16,14.34,1.65,22.87,2.06,,3.1631,3.8104006973500697,0.8744716821639898,0.8030431107354185,0.4125105663567202,0.4247675401521555
2021-04-19,14.6,1.68,23.0,2.08,,3.1559,3.6934150684931506,0.9087066779374472,0.8875739644970414,0.42857142857142855,0.4442096365173288
2021-04-20,14.57,1.68,22.91,2.08,,3.1554,3.7080179821551136,0.9061707523245984,0.8871513102282333,0.4146238377007608,0.4446322907861369
2021-04-21,14.58,1.68,22.84,2.08,,3.153,3.7057105624142666,0.9070945945945946,0.8868243243243243,0.4108952702702703,0.44467905405405406
2021-04-22,14.5,1.68,22.76,2.08,,3.1614,3.7351517241379306,0.8940033783783784,0.886402027027027,0.4049831081081081,0.44510135135135137
2021-04-23,14.56,1.68,22.78,2.09,,3.1719,3.6962318681318678,0.9028716216216216,0.8859797297297297,0.4092060810810811,0.45228040540540543
2021-04-25,,,,,,3.1841,,,,,
2021-04-26,14.36,1.66,22.41,2.08,,3.2024,3.7613883008356552,0.871513102282333,0.8355874894336432,0.3863060016906171,0.4459002535925613
