date,year,month,index_code,turnover
2015-04-02,2015,4,12.0,0.0034602271959801
2015-04-03,2015,4,300.0,0.0770413256035552
2015-04-03,2015,4,905.0,0.0221543620857376
2015-04-03,2015,4,932.0,0.0026925132617424
2015-04-03,2015,4,995.0,0.0117413675928829
2015-04-03,2015,4,12.0,0.0011853069435256
2015-04-07,2015,4,300.0,0.0975019638294815
2015-04-07,2015,4,905.0,0.0230062696450999
2015-04-07,2015,4,932.0,0.0028018432601502
2015-04-07,2015,4,995.0,0.0143637356964147
2015-04-07,2015,4,12.0,0.0007898217696164
2015-04-08,2015,4,300.0,0.1067732165557871
2015-04-08,2015,4,905.0,0.0242694417018859
2015-04-08,2015,4,932.0,0.003037100736834
2015-04-08,2015,4,995.0,0.0126823358298123
2015-04-08,2015,4,12.0,0.0015785482488986
2015-04-09,2015,4,300.0,0.1031641640885396
2015-04-09,2015,4,905.0,0.0235929756597825
2015-04-09,2015,4,932.0,0.0029891521953716
2015-04-09,2015,4,995.0,0.012852498138655
2015-04-09,2015,4,12.0,0.0021916956184436
2015-04-10,2015,4,300.0,0.080146601062145
2015-04-10,2015,4,905.0,0.0203092456680795
2015-04-10,2015,4,932.0,0.002662215116402
2015-04-10,2015,4,995.0,0.009976969607612
2015-04-10,2015,4,12.0,0.0019537227547778
2015-04-13,2015,4,300.0,0.0982008268128574
2015-04-13,2015,4,905.0,0.0219730817579401
2015-04-13,2015,4,932.0,0.0029103995417495
2015-04-13,2015,4,995.0,0.0126036623581611
2015-04-13,2015,4,12.0,0.0004965601899314
2015-04-14,2015,4,300.0,0.0978851097656158
2015-04-14,2015,4,905.0,0.0225605198252848
2015-04-14,2015,4,932.0,0.0028116334894961
2015-04-14,2015,4,995.0,0.0182411084269239
2015-04-14,2015,4,12.0,0.0007107785642062
2015-04-15,2015,4,300.0,0.1077851256234144
2015-04-15,2015,4,905.0,0.0214297636460595
2015-04-15,2015,4,932.0,0.0024911094857858
2015-04-15,2015,4,995.0,0.0179387618123658
2015-04-15,2015,4,12.0,0.0011346682238889
2015-04-16,2015,4,300.0,0.093630095716317
2015-04-16,2015,4,905.0,0.0181047106655032
2015-04-16,2015,4,932.0,0.0024596261995589
2015-04-16,2015,4,995.0,0.0141453564794459
2015-04-16,2015,4,12.0,0.0003321871860736
2015-04-17,2015,4,300.0,0.1202755288355261
2015-04-17,2015,4,905.0,0.0239463188969471
2015-04-17,2015,4,932.0,0.0027926065807083
2015-04-17,2015,4,995.0,0.019282573175067
2015-04-17,2015,4,12.0,0.0014046992988133
