日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-10-31,=7517.7040,=8122.7773,=1929904302768.3391,=1483340624582,=1012386402181.3400,=4.3655,=0.0271,=7.4729,=6.2022,=5.5753
2022-10-28,=7421.6947,=8019.0406,=1904732346817.3403,=1449794744336,=980468231216.4095,=4.2631,=0.0168,=7.4729,=6.2025,=5.5774
2022-10-27,=7561.6218,=8170.2299,=1938237035742.5403,=1476344730575,=990028857300.5240,=4.3576,=0.0246,=7.4729,=6.2029,=5.5789
2022-10-26,=7542.4313,=8149.4949,=1917782048437.0210,=1473939289539,=987511286350.3804,=4.3047,=0.0194,=7.4747,=6.2033,=5.5789
2022-10-25,=7308.3540,=7896.5776,=1855092835390.5400,=1427220485963,=954998771632.9232,=4.2747,=0.0169,=7.4747,=6.2035,=5.5799
2022-10-24,=7333.5920,=7923.8469,=1860366625371.4099,=1431942594943,=957871187901.2266,=4.2151,=0.0117,=7.4747,=6.2036,=5.5808
2022-10-21,=7357.0016,=7949.1407,=1869491960322.7004,=1435560188359,=960551990040.3907,=4.1894,=0.0091,=7.4747,=6.2058,=5.5833
2022-10-20,=7472.6441,=8074.0909,=1896988843283.7395,=1458410551175,=975538876680.6154,=4.3186,=0.0182,=7.4747,=6.2079,=5.5839
2022-10-19,=7224.1349,=7805.5801,=1832440696227.8804,=1406680503184,=943438955065.5063,=4.1736,=0.0078,=7.4815,=6.2188,=5.5839
2022-10-18,=7293.7571,=7880.8060,=1847191257624.5801,=1419320517212,=952535264920.8820,=4.2409,=0.0117,=7.4815,=6.2297,=5.5855
2022-10-17,=7346.5659,=7937.8652,=1861854442252.1201,=1429923454282,=959308449785.9430,=4.2406,=0.0105,=7.4815,=6.2324,=5.5861
2022-10-14,=7225.8379,=7807.4202,=1827709548290.0801,=1403097924478,=943633421030.8800,=4.2317,=0.0092,=7.4815,=6.2350,=5.5916
2022-10-13,=7011.3216,=7575.6382,=1775448192351,=1361982502093,=915752503513.0536,=4.0762,=0.0026,=7.4815,=6.2363,=5.5945
2022-10-12,=7060.7115,=7629.0033,=1789609945101.2000,=1371461919979,=922075036499.9862,=4.1077,=0.0039,=7.4836,=6.2375,=5.5945
2022-10-11,=6826.4058,=7375.8392,=1730886649687.9600,=1326412218490,=891431638936.7822,=3.9858,=0,=7.4836,=6.2375,=5.5976
2022-10-10,=6928.4185,=7486.0625,=1762692459600.1204,=1348675619796,=904619946054.0048,=4.0861,=0.0013,=7.4836,=6.2375,=5.5986
2022-09-30,=7370.3747,=7963.5902,=1866631404122.4500,=1440592971411,=961893389139.6899,=4.4144,=0.0119,=7.4836,=6.2376,=5.5993
2022-09-29,=7509.1129,=8113.4950,=1899358245059.0305,=1469636293404,=979751022253.6272,=4.5292,=0.0132,=7.4836,=6.2376,=5.6024
2022-09-28,=7501.1547,=8104.8962,=1896553324208.1597,=1466053776059,=978919815481.8484,=4.5533,=0.0132,=7.4965,=6.2387,=5.6024
2022-09-27,=7705.5274,=8325.7181,=1944952550946.2500,=1506214080306,=1005401768027.3616,=4.6831,=0.0291,=7.4965,=6.2398,=5.6062
2022-09-26,=7562.0020,=8170.6408,=1909862344499.0100,=1478979184650,=986508589187.2240,=4.5909,=0.0172,=7.4965,=6.2398,=5.6062
2022-09-23,=7550.0152,=8157.6892,=1909399077933.3000,=1475447244122,=985174979968.9592,=4.5723,=0.0133,=7.4965,=6.2398,=5.6063
2022-09-22,=7739.5762,=8362.5073,=1957966728506.6299,=1513642467730,=1009789596578.3202,=4.6994,=0.0266,=7.4965,=6.2402,=5.6136
2022-09-21,=7793.8084,=8421.1045,=1969020505397.8103,=1523652651693,=1016897778473.6396,=4.7425,=0.0279,=7.5253,=6.2406,=5.6136
2022-09-20,=7954.1724,=8594.3756,=2008280822905.3003,=1556570041344,=1037767902073.9564,=4.8450,=0.0360,=7.5253,=6.2456,=5.6139
2022-09-19,=7979.1161,=8621.3269,=2015275400183.6704,=1562640765682,=1040889498652.5576,=4.8237,=0.0333,=7.5253,=6.2505,=5.6139
