日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2019-11-01,=5099.2638,=5466.1922,=648558015233.5999,=473043739399,=283588280209.5761,=4.2827,=0.2041,=4.7003,=4.5062,=4.2827
2019-10-31,=5083.7332,=5449.4417,=649382534427,=471153541890,=282760369726.1700,=4.2882,=0.2083,=4.7003,=4.5234,=4.2882
2019-10-30,=5111.8471,=5479.5780,=651742876331,=474855900066,=279883890912.9200,=4.6702,=0.7447,=4.7061,=4.5254,=4.2499
2019-10-29,=4989.0748,=5347.9738,=605144464450.5000,=464582959899,=266440390528.0300,=4.3915,=0.3043,=4.7061,=4.5234,=4.2499
2019-10-28,=5104.7640,=5471.9853,=619765746300.5000,=476165833082,=270023028860.5532,=4.5493,=0.5778,=4.7061,=4.5254,=4.2499
2019-10-25,=4942.6538,=5298.2134,=604220917789.8000,=463463835093,=261612036421.7746,=4.4551,=0.3864,=4.7061,=4.5234,=4.2499
2019-10-24,=4882.1168,=5233.3216,=597621867036.8999,=458909510677,=256389299328.4364,=4.4331,=0.3256,=4.7061,=4.5254,=4.2499
2019-10-23,=4922.0139,=5276.0887,=601388328673.9001,=463126416278,=258451698572.8623,=4.4700,=0.3810,=4.7200,=4.5274,=3.9617
2019-10-22,=4941.6995,=5297.1904,=601721549952.8000,=463427289464,=259267700128.9116,=4.4716,=0.3902,=4.7200,=4.5336,=3.9617
2019-10-21,=4829.2939,=5176.6986,=586215350363.2000,=452505444495,=253381633703.8915,=4.3583,=0.3000,=4.7200,=4.5398,=3.9617
2019-10-18,=4826.1025,=5173.2777,=586744949897.6000,=452410661985,=253405099032.5760,=4.3622,=0.3077,=4.7200,=4.5414,=3.9617
2019-10-17,=4961.0363,=5317.9182,=603795245878.6000,=465801703336,=260400432081.8711,=4.4890,=0.3947,=4.7200,=4.5430,=3.9617
2019-10-16,=4981.1537,=5339.4828,=603764381631,=423809128627,=261348893381.1716,=4.4887,=0.3784,=4.7470,=4.5497,=3.9443
2019-10-15,=5025.9655,=5387.5183,=608421881425.3999,=427472467790,=263470463168.5427,=4.5234,=0.3889,=4.7470,=4.5564,=3.9443
2019-10-14,=5231.2481,=5607.5683,=632217997844.8999,=444375472836,=274144566017.7464,=4.7003,=0.7143,=4.7470,=4.5611,=3.9443
2019-10-11,=5076.2582,=5441.4289,=614384803006.2999,=432456135206,=266213717122.8673,=4.5677,=0.5588,=4.7470,=4.5564,=3.9443
2019-10-10,=5160.4281,=5531.6537,=623310418580.7001,=439320419586,=270361392538.0675,=4.6340,=0.5758,=4.7470,=4.5497,=3.9443
2019-10-09,=5078.6102,=5443.9501,=612863229308.3000,=431715517395,=266029593355.4655,=4.5564,=0.5313,=4.7476,=4.5430,=3.9287
2019-10-08,=4968.8403,=5326.2837,=599145585464.5000,=422270921280,=260413433973.3108,=4.4544,=0.4194,=4.7476,=4.5414,=3.9287
2019-09-30,=5038.0820,=5400.5064,=610635810722.6000,=429000069090,=264237628008.5614,=4.5398,=0.4667,=4.7476,=4.5430,=3.9287
2019-09-27,=5223.0660,=5598.7976,=638508727156.9999,=445835559678,=274142352693.6469,=4.7470,=0.7586,=4.7476,=4.5544,=3.9287
2019-09-26,=5134.7045,=5504.0797,=623941530148.9000,=438175108670,=269374170473.5294,=4.6387,=0.5714,=4.7476,=4.5430,=3.9287
2019-09-25,=5436.8535,=5827.9644,=658339044384.5999,=464173459295,=284792730655.9904,=4.8945,=0.8889,=4.8027,=4.5352,=3.9042
2019-09-24,=5706.5849,=6117.0994,=690557201276.5999,=486450187751,=298852951176.5564,=5.1340,=0.9615,=4.7476,=4.5274,=3.9042
2019-09-23,=5713.9023,=6124.9431,=691839614098.5000,=486700720686,=299066164039.8419,=5.1435,=1,=4.7200,=4.4872,=3.9042
2019-09-20,=5527.0587,=5924.6585,=666717530647.8000,=469058893520,=289575408829.6190,=4.9568,=1,=4.7061,=4.4471,=3.9042
