日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-02-14,=9381.6093,=10193.9613,=3126397413950.7603,=2148414219839,=1439900450828.4900,=62.3390,=0.6795,=76.4045,=57.1369,=43.3420
2025-02-13,=9366.7390,=10177.8034,=3135180540473.7202,=2144833164785,=1437274340738.5901,=62.1816,=0.6777,=76.4045,=57.1308,=43.3420
2025-02-12,=9635.1354,=10469.4402,=3228103028231.2798,=2204660890889,=1478749612611.3601,=63.7718,=0.7023,=76.4248,=57.1250,=43.1757
2025-02-11,=9357.3289,=10167.5785,=3137299445844.3398,=2140112170954,=1432967042580.3899,=61.8037,=0.6719,=76.4248,=57.1191,=43.1757
2025-02-10,=9449.5041,=10267.7351,=3180356832687.9702,=2161013306504,=1450210364877.7598,=62.6594,=0.6883,=76.4248,=57.1070,=43.1757
2025-02-07,=9342.3422,=10151.2941,=3134818242317.8101,=2134725407956,=1438051180842.5200,=62.6533,=0.6881,=76.4248,=57.0949,=43.1757
2025-02-06,=9291.5683,=10096.1237,=3131123676960.5801,=2120959789531,=1434267146930.3601,=62.2431,=0.6795,=76.4248,=57.0858,=43.1757
2025-02-05,=8954.2491,=9729.5961,=3021676372662.2505,=2039236268811,=1379503528691.2102,=59.3487,=0.5968,=76.6703,=57.0767,=43.1738
2025-01-27,=8658.8545,=9408.6233,=2898857213885.4297,=1979597344400,=1330923019867.7004,=58.4925,=0.5625,=76.6703,=57.0743,=43.1738
2025-01-24,=8917.0272,=9689.1511,=2987632215333.8198,=2035124762952,=1369014958326.2202,=59.7701,=0.6083,=76.6703,=57.0720,=43.1738
2025-01-23,=8864.1379,=9631.6821,=2970048075776.3701,=2024457189522,=1359699485103.7300,=59.2595,=0.5936,=76.6703,=57.0538,=43.1738
2025-01-22,=9000.4622,=9779.8107,=3022152789733.2998,=2050914968840,=1380259451965.2097,=59.8834,=0.6123,=76.6703,=57.0356,=43.1738
2025-01-21,=9016.3261,=9797.0483,=3038970952945.1504,=2056843483521,=1384880875364.2798,=60.3927,=0.6279,=76.7081,=57.0299,=43.1716
2025-01-20,=8946.6325,=9721.0177,=3016598741452.5796,=2038644267269,=1374327768251.6799,=59.7892,=0.6109,=76.7081,=57.0242,=43.1716
2025-01-17,=8934.9128,=9708.2836,=3020462423948.9897,=2036274051247,=1375978132122.7500,=59.9661,=0.6152,=76.7081,=57.0236,=43.1716
